Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,metal,rdkit_smi,pIC50,mw,logp
CHEMBL3605005,,,577.61,1.0,3.4,58,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OC[C@H]7C[C@@H]7C(=O)O)nc56)(CC3)OC4)nc2N1,IC50,'=',43400.0,nM,4.36,,,UO_0000065,7.55,0.14,0.96,3.01,0,CHEMBL3607541,Inhibition of human ERG assessed as reduction in MK499 competitive binding,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3603744,1,Scientific Literature,Bioorg Med Chem Lett,2015.0,,,0,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OC[C@H]7C[C@@H]7C(=O)O)nc56)(CC3)OC4)nc2N1,-4.63748972951251,577.613,3.398500000000001
CHEMBL2017566,,,520.52,2.0,5.2,28,COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3ccc4ccccc4c3)nn2)ccc1-n1cnc(C)c1,IC50,'=',630.0,nM,6.2,,,UO_0000065,11.91,0.22,1.0,7.94,0,CHEMBL2021104,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2016515,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,0,COc1cc(-c2cn(CC(=O)N(CC(F)(F)F)c3ccc4ccccc4c3)nn2)ccc1-n1cnc(C)c1,-2.7993405494535817,520.5150000000002,5.196520000000005
CHEMBL2177908,,,467.4,0.0,4.85,10,NC1=NC(c2ccnc(C(F)(F)F)c2)(c2ccc(F)c(-c3cncnc3)c2)c2cccc(F)c21,IC50,'=',16000.0,nM,4.8,,,UO_0000065,10.26,0.19,-0.05,6.22,0,CHEMBL2182706,Inhibition of human ERG expressed in CHO cells by IonWorks assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2177072,1,Scientific Literature,J Med Chem,2012.0,CHEMBL3308072,,0,NC1=NC(c2ccnc(C(F)(F)F)c2)(c2ccc(F)c(-c3cncnc3)c2)c2cccc(F)c21,-4.204119982655925,467.4010000000001,4.846400000000003
CHEMBL237191,,,401.56,0.0,4.63,liu49,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,IC50,'=',10400.0,nM,4.98,,,UO_0000065,12.41,0.23,0.35,11.04,0,CHEMBL1827362,Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1821550,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,0,Cc1nc(N2CCCC2)ncc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,-4.017033339298781,401.5580000000002,4.627220000000004
CHEMBL1779010,,,308.36,0.0,4.51,6h,COc1cc(F)ccc1-c1cncc(NCc2ccccc2)c1,IC50,'=',5200.0,nM,5.28,,,UO_0000065,17.14,0.31,0.77,15.47,0,CHEMBL1781193,Inhibition of human ERG expressed in CHOK1 cells electrophysiology study,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1777674,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3307512,,0,COc1cc(F)ccc1-c1cncc(NCc2ccccc2)c1,-3.716003343634799,308.356,4.508400000000003
CHEMBL4241824,,,487.65,0.0,4.76,28h; GSK3008348,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,IC50,'=',31622.78,nM,4.5,,,UO_0000065,9.23,0.17,-0.26,5.4,0,CHEMBL4236905,Inhibition of human ERG expressed in HEK293 cells by Barracuda automated patch clamp assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4229566,1,Scientific Literature,J Med Chem,2018.0,,,0,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,-4.344510460376436,487.6480000000004,4.755240000000004
CHEMBL553395,,,318.49,0.0,3.55,11o,CSc1ccccc1C(=O)N(C1CCCCC1)[C@H]1CCNC1,IC50,'=',2270.0,nM,5.64,,,UO_0000065,17.72,0.35,2.09,17.45,0,CHEMBL1062483,Displacement of [3H]dofetilide from human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1153484,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,0,CSc1ccccc1C(=O)N(C1CCCCC1)[C@H]1CCNC1,-3.3560258571931225,318.486,3.545300000000002
CHEMBL1093053,,,449.57,1.0,5.5,30,CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2F)C1,IC50,'=',30000.0,nM,4.52,,,UO_0000065,10.06,0.19,-0.98,6.62,0,CHEMBL1111711,Inhibition of human ERG expressed in CHO cells by automated patch clamp electrophysiology assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1156307,1,Scientific Literature,J Med Chem,2010.0,CHEMBL3308072,,0,CC(C)(C)c1[nH]c2ccccc2c1C1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2F)C1,-4.477121254719663,449.5700000000001,5.502700000000004
CHEMBL4751613,,,454.41,1.0,5.4,44,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4cccc(OC(F)(F)F)c4)n2CCO3)ccn1,IC50,'=',693.0,nM,6.16,,,UO_0000065,13.55,0.25,0.76,8.64,0,CHEMBL4717446,Inhibition of human ERG expressed in HEK293 cells assessed as reduction in S35-MK-0499 binding,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4715723,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,,,0,Cc1cc(-c2ccc3c(c2)-c2nnc(Oc4cccc(OC(F)(F)F)c4)n2CCO3)ccn1,-2.8407332346118066,454.4080000000001,5.398820000000004
CHEMBL1784405,,,530.73,2.0,6.65,50,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)C(C)(C)C)CC1,IC50,'=',1584.89,nM,5.8,,,UO_0000065,10.93,0.2,-0.85,14.02,0,CHEMBL1788065,Inhibition of human Erg by patch clamp assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1781974,1,Scientific Literature,J Med Chem,2011.0,,,0,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)C(C)(C)C)CC1,-3.1999991251967965,530.7320000000002,6.648320000000007
