COMPOUND_ID	ASSAY_ID	MEASUREMENT_TYPE	STATUS	VALUE	UPPER_VALUE	UNIT	SD_MINUS	SD_PLUS	ACTIVITY_COMMENT
DNDI100663	1327100	IC90	> 	1		uM			
DNDI100663	1327097	IC50	> 	100		uM			
DNDI100663	1035348	IC50	> 	1		uM			
DNDI100664	1327100	IC90	> 	.1		uM			
DNDI100664	1327097	IC50	> 	100		uM			
DNDI100664	1035348	IC50	= 	.0597		uM			
DNDI1441803	1327097	IC50	> 	100		uM			
DNDI1441803	1035348	IC50	= 	.3055		uM			
DNDI1442027	1327097	IC50	= 	51.48		uM			
DNDI1442027	1035348	IC50	= 	.5940000000000001		uM			
DNDI1442027	1035348	IC50	> 	10		uM			
DNDI1442027	1035348	IC50	> 	1		uM			
DNDI1442027	1327097	IC50	= 	54.13		uM			
DNDI1442027	1327100	IC90	> 	10		uM			
DNDI1442027	1327100	IC90	> 	1		uM			
DNDI1442027	1327661	IC50	= 	5.43		uM			
DNDI1442185-24	1331118	% inhibition	= 			%			
DNDI1442185-24	1327661	IC50	> 	10		uM			
DNDI1442185-24	1327100	IC90	= 	.193		uM			
DNDI1442185-24	1327097	IC50	= 	65.88		uM			
DNDI1442185-24	1038090	% inhibition	= 			%			
DNDI1442185-24	1038090	% inhibition	= 			%			
DNDI1442185-24	1035348	IC50	= 	.03		uM			
DNDI1442185-24	1008057	IC50	= 	.7		uM			
DNDI1797946	1007988	logD	= 	3.4		none			
DNDI1797946	1008057	IC50	> 	20		uM			
DNDI1797946	1035348	IC50	= 	.0255		uM			
DNDI1797946	1327097	IC50	= 	16.08		uM			
DNDI1797946	1327100	IC90	= 	.257		uM			
DNDI1797946	1327661	IC50	= 	23.28		uM			
DNDI1797946	1331121	% inhibition	= 			%			
DNDI1797946	1327661	IC50	> 	10		uM			
DNDI1797946	1327100	IC90	> 	.1		uM			
DNDI1797946	1327097	IC50	= 	19.42		uM			
DNDI1797946	1035348	IC50	= 	.026000000000000002		uM			
DNDI1797946	1007806	CLint in vitro	= 	48		uL/min/mg			
DNDI1797946	1007804	t (1 / 2)	= 	36		Min			
DNDI1797946	1007599	Kinetic	= 	1.6		ug/ml			
DNDI1797946	1007175	Kinetic	> 	100		ug/ml			
DNDI1797946	1007173	logD	= 	3.8		none			
DNDI1797946	1000252	EH	= 	.73		none			
DNDI1808267	1000252	EH	= 	.38		none			
DNDI1808267	1007804	t (1 / 2)	= 	160		Min			
DNDI1808267	1007806	CLint in vitro	= 	11		uL/min/mg			
DNDI1808267	1034082	IC50	> 	20		uM			
DNDI1808267	1035348	IC50	= 	.003		uM			
DNDI1808267	1037536	% remaining	= 	.4		%			
DNDI1808267	1037537	% remaining	= 	1.8		%			
DNDI1808267	1327097	IC50	> 	100		uM			
DNDI1808267	1327100	IC90	= 	.037		uM			
DNDI1808267	1327661	IC50	> 	10		uM			
DNDI1809576-24	1327661	IC50	= 	1.42		uM			
DNDI1809576-24	1327087	IC50	= 	40.58		uM			
DNDI1809576-24	1327087	IC50	= 	40.58		uM			
DNDI1809576-24	1326903	IC50	= 	11.31		uM			
DNDI1809576-24	1326903	IC50	= 	24.05		uM			
DNDI1809576-24	1034082	IC50	= 	19		uM			
DNDI1809576-24	1007988	logD	= 	2.9		none			
DNDI1809576-24	1007806	CLint in vitro	= 	169		uL/min/mg			
DNDI1809576-24	1007804	t (1 / 2)	= 	10		Min			
DNDI1809576-24	1007599	Kinetic	> 	100		ug/ml			
DNDI1809576-24	1007175	Kinetic	> 	100		ug/ml			
DNDI1809576-24	1007173	logD	= 	4.4		none			
DNDI1809576-24	1000252	EH	= 	.87		none			
DNDI1845888	1327661	IC50	= 	.604		uM			
DNDI1845888	1327100	IC90	> 	1		uM			
DNDI1845888	1327097	IC50	= 	19.94		uM			
DNDI1845888	1327087	IC50	= 	29.37		uM			
DNDI1845888	1327087	IC50	= 	29.37		uM			
DNDI1845888	1326903	IC50	= 	2.16		uM			
DNDI1845888	1326903	IC50	= 	8		uM			
DNDI1845888	1035348	IC50	> 	1		uM			
DNDI1845888	1034082	IC50	= 	5.83		uM			
DNDI1845888	1000252	EH	= 	.943		none			
DNDI1845888	1007175	Kinetic	= 	95.87		ug/ml			
DNDI1845888	1007599	Kinetic	= 	14.47		ug/ml			
DNDI1845888	1007804	t (1 / 2)	= 	5.2		Min			
DNDI1845888	1007806	CLint in vitro	= 	333.8		uL/min/mg			
DNDI1858389	1331121	% inhibition	= 			%			
DNDI1858389	1327661	IC50	> 	10		uM			
DNDI1858389	1327100	IC90	= 	.059		uM			
DNDI1858389	1327097	IC50	= 	44.23		uM			
DNDI1858389	1035348	IC50	= 	.016		uM			
DNDI1858389	1034082	IC50	< 	.25		uM			
DNDI1858389	1007988	logD	= 	3.3		none			
DNDI1858389	1007806	CLint in vitro	= 	14		uL/min/mg			
DNDI1858389	1007804	t (1 / 2)	= 	120		Min			
DNDI1858389	1007599	Kinetic	= 	12.5		ug/ml			
DNDI1858389	1007175	Kinetic	> 	100		ug/ml			
DNDI1858389	1007173	logD	= 	4.5		none			
DNDI1858389	1000252	EH	= 	.36		none			
DNDI1914268	1035348	IC50	= 	.006500000000000001		uM			
DNDI1914268	1041455	Report	= 			none			
DNDI1914268	1327097	IC50	> 	100		uM			
DNDI1914268	1327100	IC90	= 	.0235		uM			
DNDI1914268	1327661	IC50	> 	10		uM			
DNDI1914268	1331121	% inhibition	= 			%			
DNDI1914268	1327661	IC50	> 	10		uM			
DNDI1914268	1327100	IC90	= 	.008033333333333333		uM			
DNDI1914268	1327097	IC50	> 	100		uM			
DNDI1914268	1035348	IC50	= 	.0008		uM			
DNDI1914268	1034082	IC50	= 	20		uM			
DNDI1914268	1007988	logD	= 	2.7		none			
DNDI1914268	1000252	EH	= 	.9		none			
DNDI1914268	1007173	logD	= 	3.2		none			
DNDI1914268	1007175	Kinetic	= 	50		ug/ml			
DNDI1914268	1007599	Kinetic	= 	1.6		ug/ml			
DNDI1914268	1007804	t (1 / 2)	= 	10		Min			
DNDI1914268	1007806	CLint in vitro	= 	166		uL/min/mg			
DNDI1915030	1007599	Kinetic	= 	3.1		ug/ml			
DNDI1915030	1007804	t (1 / 2)	= 	113		Min			
DNDI1915030	1007806	CLint in vitro	= 	15		uL/min/mg			
DNDI1915030	1007988	logD	= 	1.9		none			
DNDI1915030	1034082	IC50	> 	20		uM			
DNDI1915030	1331121	% inhibition	= 			%			
DNDI1915030	1327661	IC50	> 	10		uM			
DNDI1915030	1327100	IC90	> 	.1		uM			
DNDI1915030	1327097	IC50	> 	100		uM			
DNDI1915030	1035348	IC50	> 	.1		uM			
DNDI1915030	1035348	IC50	= 	.084		uM			
DNDI1915030	1038090	% inhibition	= 	53.53		%			
DNDI1915030	1327097	IC50	> 	100		uM			
DNDI1915030	1327100	IC90	> 	.1		uM			
DNDI1915030	1327661	IC50	> 	10		uM			
DNDI1915030	1007175	Kinetic	= 	50		ug/ml			
DNDI1915030	1007173	logD	= 	2.7		none			
DNDI1915030	1000252	EH	= 	.46		none			
DNDI1927429-8	1327661	IC50	= 	.91		uM			
DNDI1927429-8	1327100	IC90	> 	1		uM			
DNDI1927429-8	1327097	IC50	= 	45.66		uM			
DNDI1927429-8	1000252	EH	= 	.815		none			
DNDI1927429-8	1007173	logD	= 	1.56		none			
DNDI1927429-8	1007175	Kinetic	= 	100.81		ug/ml			
DNDI1927429-8	1007599	Kinetic	= 	94.44		ug/ml			
DNDI1927429-8	1007804	t (1 / 2)	= 	19.5		Min			
DNDI1927429-8	1007806	CLint in vitro	= 	89		uL/min/mg			
DNDI1927429-8	1007988	logD	= 	-.12		none			
DNDI1927429-8	1034082	IC50	= 	16.3		uM			
DNDI1927429-8	1035348	IC50	> 	1		uM			
DNDI1927445	1000252	EH	< 	.28		none			
DNDI1927445	1007173	logD	= 	2.3		none			
DNDI1927445	1007175	Kinetic	= 	50		ug/ml			
DNDI1927445	1007599	Kinetic	= 	12.5		ug/ml			
DNDI1927445	1007804	t (1 / 2)	> 	250		Min			
DNDI1927445	1007806	CLint in vitro	< 	7		uL/min/mg			
DNDI1927445	1007988	logD	= 	1.7		none			
DNDI1927445	1034082	IC50	> 	20		uM			
DNDI1927445	1035348	IC50	= 	.09		uM			
DNDI1927445	1038090	% inhibition	= 	48.25		%			
DNDI1927445	1327097	IC50	> 	100		uM			
DNDI1927445	1327100	IC90	> 	.1		uM			
DNDI1927445	1327661	IC50	> 	10		uM			
DNDI1927860	1327661	IC50	> 	10		uM			
DNDI1927860	1327100	IC90	> 	.1		uM			
DNDI1927860	1035348	IC50	> 	.1		uM			
DNDI1927860	1326903	IC50	> 	64		uM			
DNDI1927860	1326903	IC50	> 	64		uM			
DNDI1927860	1327097	IC50	> 	100		uM			
DNDI1927860	1327087	IC50	> 	64		uM			
DNDI1927860	1327087	IC50	> 	64		uM			
DNDI1943712	1034082	IC50	= 	3.28		uM			
DNDI1943712	1035348	IC50	= 	.186		uM			
DNDI1943712	1327097	IC50	= 	59.74		uM			
DNDI1943712	1327100	IC90	> 	1		uM			
DNDI1943712	1327661	IC50	> 	10		uM			
DNDI1943712	1007988	logD	= 	.41		none			
DNDI1943712	1007806	CLint in vitro	= 	16.5		uL/min/mg			
DNDI1943712	1000252	EH	= 	.45		none			
DNDI1943712	1007804	t (1 / 2)	= 	105		Min			
DNDI1943712	1007599	Kinetic	= 	48.24		ug/ml			
DNDI1943712	1007175	Kinetic	= 	64.26		ug/ml			
DNDI1943712	1007173	logD	= 	3.03		none			
DNDI1970185	1329906	Parasitemia clearance after treatment	= 	80		%			
DNDI1970185	1331121	% inhibition	= 			%			
DNDI1970185	1327097	IC50	> 	100		uM			
DNDI1970185	1329905	Parasitemia clearance after treatment	= 	60		%			
DNDI1970185	1329903	Parasitemia clearance after immunosuppression	= 	60		%			
DNDI1970185	1329902	Parasitemia clearance after immunosuppression	= 	0		%			
DNDI1970185	1329900	PCR cure rate	= 	0		%			
DNDI1970185	1329899	PCR cure rate	= 	0		%			
DNDI1970185	1327100	IC90	= 	.010499999999999999		uM			
DNDI1970185	1038452	% bound	= 	98.6		%			
DNDI1970185	1035348	IC50	= 	.003		uM			
DNDI1970185	1008045	% bound	= 	97.2		%			
DNDI1970185	1037587	EH	= 	.4		none			
DNDI1970185	1035348	IC50	= 	.008		uM			
DNDI1970185	1034082	IC50	= 	18		uM			
DNDI1970185	1007990	t (1 / 2)	= 	38		Min			
DNDI1970185	1007989	CLint in vitro	= 	46		uL/min/mg			
DNDI1970185	1007988	logD	= 	2.6		none			
DNDI1970185	1007808	t (1 / 2)	= 	52		Min			
DNDI1970185	1007807	EH	= 	.6		none			
DNDI1970185	1007806	CLint in vitro	= 	24		uL/min/mg			
DNDI1970185	1007805	CLint in vitro	= 	34		uL/min/mg			
DNDI1970185	1007804	t (1 / 2)	= 	73		Min			
DNDI1970185	1007599	Kinetic	< 	1.6		ug/ml			
DNDI1970185	1007175	Kinetic	> 	100		ug/ml			
DNDI1970185	1007173	logD	= 	3.4		none			
DNDI1970185	1000253	EH	= 	.6		none			
DNDI1970185	1000252	EH	= 	.48		none			
DNDI1970185	1038090	% inhibition	= 	47.27		%			
DNDI1970185	1327097	IC50	> 	100		uM			
DNDI1970185	1327100	IC90	= 	.025849999999999998		uM			
DNDI1970185	1327661	IC50	> 	10		uM			
DNDI1970185	1331121	% inhibition	= 			%			
DNDI1970185	1331560	CLblood	= 	26.7		mL/min/kg			
DNDI1970185	1331688	% bound	= 	54.6		none			
DNDI1977149	1327100	IC90	= 	.445		uM			
DNDI1977149	1327100	IC90	= 	.52		uM			
DNDI1977149	1035348	IC50	= 	.17		uM			
DNDI1977149	1327100	IC90	> 	1		uM			
