ASSAY_ID	REFERENCE_ID	ASSAY_DESCRIPTION	ASSAY_TYPE	ASSAY_TEST_TYPE	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	ASSAY_TISSUE	ASSAY_CELL_LINE	ASSAY_SUBCELLULAR_FRACTION	TARGET_TYPE	TARGET_NAME	TARGET_ACCESSION	TARGET_ORGANISM	TARGET_TAX_ID	SRC_ID	ASSAY_SOURCE
1035348	1	Chagas in Vitro	F	In Vitro	T. cruzi	Tulahuen C4 (LacZ)					ORGANISM	T. cruzi				14	HEOS
1327100	1	Chagas in Vitro	F	In Vitro	T. cruzi	Tulahuen C4 (LacZ)					ORGANISM	T. cruzi				14	HEOS
1331121	1	Chagas in vivo at 20 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329904	1	Chagas in vivo at 20 mg/kg, 20 days 1x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329901	1	Chagas in vivo at 20 mg/kg, 20 days 1x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329898	1	Chagas in vivo at 20 mg/kg, 20 days 1x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329900	1	Chagas in vivo at 20 mg/kg, 20 days 2x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329903	1	Chagas in vivo at 20 mg/kg, 20 days 2x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329906	1	Chagas in vivo at 20 mg/kg, 20 days 2x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331118	1	Chagas in vivo at 20 mg/kg, 5 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329905	1	Chagas in vivo at 50 mg/kg, 20 days 1x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329902	1	Chagas in vivo at 50 mg/kg, 20 days 1x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1329899	1	Chagas in vivo at 50 mg/kg, 20 days 1x	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1008058	1	CYP Inhibition	A	In Vitro	CYP1A2	unknown					ORGANISM	CYP1A2				14	HEOS
1008059	1	CYP Inhibition	A	In Vitro	CYP2C19	unknown					ORGANISM	CYP2C19				14	HEOS
1008055	1	CYP Inhibition	A	In Vitro	CYP2C9	unknown					ORGANISM	CYP2C9				14	HEOS
1008056	1	CYP Inhibition	A	In Vitro	CYP2D6	unknown					ORGANISM	CYP2D6				14	HEOS
1034082	1	CYP Inhibition	A	In Vitro	CYP3A4	testosterone					ORGANISM	CYP3A4				14	HEOS
1008057	1	CYP Inhibition	A	In Vitro	CYP3A4	unknown					ORGANISM	CYP3A4				14	HEOS
1044290	1	CYP Inhibition at 1 uM	A	In Vitro	CYP3A4	testosterone					ORGANISM	CYP3A4				14	HEOS
1044291	1	CYP Inhibition at 10 uM	A	In Vitro	CYP3A4	testosterone					ORGANISM	CYP3A4				14	HEOS
1327097	1	Cytotoxicity in Vitro	F	In Vitro	L-6 cells	Rat Skeletal Myoblast Cells					ORGANISM	L-6 cells				14	HEOS
