COMPOUND_ID	REFERENCE_ID	COMPOUND_NAME	COMPOUND_KEY	SRC_ID	COMPOUND_SOURCE
DNDI100663	1		DNDI100663	14	HEOS
DNDI100664	1		DNDI100664	14	HEOS
DNDI1441803	1		DNDI1441803	14	HEOS
DNDI1442027	1		DNDI1442027	14	HEOS
DNDI1442185-24	1		DNDI1442185-24	14	HEOS
DNDI1797946	1		DNDI1797946	14	HEOS
DNDI1808267	1		DNDI1808267	14	HEOS
DNDI1809576-24	1		DNDI1809576-24	14	HEOS
DNDI1845888	1		DNDI1845888	14	HEOS
DNDI1858389	1		DNDI1858389	14	HEOS
DNDI1914268	1		DNDI1914268	14	HEOS
DNDI1915030	1		DNDI1915030	14	HEOS
DNDI1927429-8	1		DNDI1927429-8	14	HEOS
DNDI1927445	1		DNDI1927445	14	HEOS
DNDI1927860	1		DNDI1927860	14	HEOS
DNDI1943712	1		DNDI1943712	14	HEOS
DNDI1970185	1		DNDI1970185	14	HEOS
DNDI1977149	1		DNDI1977149	14	HEOS
DNDI1977172	1		DNDI1977172	14	HEOS
DNDI1977174	1		DNDI1977174	14	HEOS
DNDI1977185	1		DNDI1977185	14	HEOS
DNDI1977189	1		DNDI1977189	14	HEOS
DNDI1977190	1		DNDI1977190	14	HEOS
DNDI1977200	1		DNDI1977200	14	HEOS
DNDI1977202	1		DNDI1977202	14	HEOS
DNDI1977370	1		DNDI1977370	14	HEOS
DNDI2002936	1		DNDI2002936	14	HEOS
DNDI2004035	1		DNDI2004035	14	HEOS
DNDI2030944	1		DNDI2030944	14	HEOS
DNDI2035675	1		DNDI2035675	14	HEOS
DNDI2035676	1		DNDI2035676	14	HEOS
DNDI2035677	1		DNDI2035677	14	HEOS
DNDI2035678	1		DNDI2035678	14	HEOS
DNDI2035693	1		DNDI2035693	14	HEOS
DNDI2036455	1		DNDI2036455	14	HEOS
DNDI2036476	1		DNDI2036476	14	HEOS
DNDI2037315	1		DNDI2037315	14	HEOS
DNDI2037331	1		DNDI2037331	14	HEOS
DNDI2037332	1		DNDI2037332	14	HEOS
DNDI2037340	1		DNDI2037340	14	HEOS
DNDI2038160	1		DNDI2038160	14	HEOS
DNDI2038162	1		DNDI2038162	14	HEOS
DNDI2038206	1		DNDI2038206	14	HEOS
DNDI2039091-24	1		DNDI2039091-24	14	HEOS
DNDI2043995	1		DNDI2043995	14	HEOS
DNDI2043997	1		DNDI2043997	14	HEOS
DNDI2084885	1		DNDI2084885	14	HEOS
DNDI2084886	1		DNDI2084886	14	HEOS
DNDI2084892	1		DNDI2084892	14	HEOS
DNDI2084901	1		DNDI2084901	14	HEOS
DNDI2084905	1		DNDI2084905	14	HEOS
DNDI2154408	1		DNDI2154408	14	HEOS
DNDI2154958	1		DNDI2154958	14	HEOS
DNDI2154966	1		DNDI2154966	14	HEOS
DNDI2155104	1		DNDI2155104	14	HEOS
DNDI2155110	1		DNDI2155110	14	HEOS
DNDI2166092	1		DNDI2166092	14	HEOS
DNDI2166104	1		DNDI2166104	14	HEOS
DNDI2166109	1		DNDI2166109	14	HEOS
DNDI2166110-8	1		DNDI2166110-8	14	HEOS
DNDI2166113	1		DNDI2166113	14	HEOS
DNDI2166118	1		DNDI2166118	14	HEOS
DNDI2166121	1		DNDI2166121	14	HEOS
DNDI2166135	1		DNDI2166135	14	HEOS
DNDI2174696	1		DNDI2174696	14	HEOS
DNDI2174706	1		DNDI2174706	14	HEOS
DNDI2218869-24	1		DNDI2218869-24	14	HEOS
