smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,REFERENCE_ID,ASSAY_TYPE,ASSAY_ORGANISM,ASSAY_STRAIN,TARGET_TYPE,SRC_ID,ASSAY_SOURCE,UPPER_VALUE,SD_MINUS,SD_PLUS,ACTIVITY_COMMENT
CS(=O)(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)s2)c1,CS(=O)(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)s2)c1,.,= ,0.0597,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
O=C(NCCc1cnc[nH]1)c1ccc(-c2ccccc2)cc1,O=C(NCCc1cnc[nH]1)c1ccc(-c2ccccc2)cc1,.,= ,0.3055,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,.,= ,51.48,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,.,= ,0.5940000000000001,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,.,= ,54.13,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN(C)C2CCN(C)CC2)c1,.,= ,5.43,T.b. rhodesiense,,,uM,,IC50,In Vitro,,HAT in Vitro,set10,1.0,F,T.b. rhodesiense,ATCC 30027,ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,,T. cruzi,,,%,,% inhibition,In Vivo,,"Chagas in vivo at 20 mg/kg, 5 adm days",set10,1.0,F,T. cruzi,Tulahuen Swiss po,ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,0.193,T. cruzi,,,uM,,IC90,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,65.88,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,,L. donovani,,,%,,% inhibition,In Vitro,,Leish macro in vitro at 10 uM,set10,1.0,F,L. donovani,MHOM/ET/67/L82,ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,,L. donovani,,,%,,% inhibition,In Vitro,,Leish macro in vitro at 10 uM,set10,1.0,F,L. donovani,MHOM/ET/67/L82,ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,0.03,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
Cl.OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,OC(COc1ccc2cc(Br)ccc2c1)Cn1ccnc1,Cl,= ,0.7,CYP3A4,,,uM,,IC50,In Vitro,,CYP Inhibition,set10,1.0,A,CYP3A4,unknown,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,3.4,gLogD,,,none,,logD,In Vitro,,Lipophilicity,set10,1.0,A,gLogD,pH 3,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,0.0255,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,16.08,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,0.257,T. cruzi,,,uM,,IC90,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,23.28,T.b. rhodesiense,,,uM,,IC50,In Vitro,,HAT in Vitro,set10,1.0,F,T.b. rhodesiense,ATCC 30027,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,,T. cruzi,,,%,,% inhibition,In Vivo,,"Chagas in vivo at 20 mg/kg, 20 adm days",set10,1.0,F,T. cruzi,Tulahuen Swiss po,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,19.42,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,0.026,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,48.0,Human,,,uL/min/mg,,CLint in vitro,In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,36.0,Human,,,Min,,t (1 / 2),In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,1.6,PBS - pH 6.5,,,ug/ml,,Kinetic,In Vitro,,Solubility,set10,1.0,A,PBS - pH 6.5,NEPH_RT,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,3.8,gLogD,,,none,,logD,In Vitro,,Lipophilicity,set10,1.0,A,gLogD,pH 7.4,ORGANISM,14.0,HEOS,,,,
O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,O=c1c2ccccc2nc(-c2ccc(-c3ccccc3)cc2)n1Cc1cccnc1,.,= ,0.73,Human,,,none,,EH,In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,0.38,Human,,,none,,EH,In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,160.0,Human,,,Min,,t (1 / 2),In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,11.0,Human,,,uL/min/mg,,CLint in vitro,In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,0.003,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,0.4,Blood,,,%,,% remaining,In Vitro,,"Stability, 4 hour",set10,1.0,A,Blood,mouse,ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,1.8,Plasma,,,%,,% remaining,In Vitro,,"Stability, 4 hour",set10,1.0,A,Plasma,mouse,ORGANISM,14.0,HEOS,,,,
CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,CCOC(=O)c1ccc(-n2ccnc2)c(NC(=O)c2cnc(-c3ccccc3)nc2)c1,.,= ,0.037,T. cruzi,,,uM,,IC90,In Vitro,,Chagas in Vitro,set10,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,1.42,T.b. rhodesiense,,,uM,,IC50,In Vitro,,HAT in Vitro,set10,1.0,F,T.b. rhodesiense,ATCC 30027,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,40.58,MRC-5 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,MRC-5 cells,Human Lung Fibroblast Cells,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,40.58,MRC-5 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,MRC-5 cells,Human Lung Fibroblast Cells,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,11.31,L. infantum,,,uM,,IC50,In Vitro,,Leish (macro) in Vitro,set10,1.0,F,L. infantum,MHOM/MA(BE)/67,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,24.05,L. infantum,,,uM,,IC50,In Vitro,,Leish (macro) in Vitro,set10,1.0,F,L. infantum,MHOM/MA(BE)/67,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,19.0,CYP3A4,,,uM,,IC50,In Vitro,,CYP Inhibition,set10,1.0,A,CYP3A4,testosterone,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,2.9,gLogD,,,none,,logD,In Vitro,,Lipophilicity,set10,1.0,A,gLogD,pH 3,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,169.0,Human,,,uL/min/mg,,CLint in vitro,In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,10.0,Human,,,Min,,t (1 / 2),In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,4.4,gLogD,,,none,,logD,In Vitro,,Lipophilicity,set10,1.0,A,gLogD,pH 7.4,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1.Cl,CCN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)CN(C)C2CCN(C)CC2)c(Cl)c1,Cl,= ,0.87,Human,,,none,,EH,In Vitro,,Metabolism,set10,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccc3c(c2)CCNC3)c1,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccc3c(c2)CCNC3)c1,.,= ,0.604,T.b. rhodesiense,,,uM,,IC50,In Vitro,,HAT in Vitro,set10,1.0,F,T.b. rhodesiense,ATCC 30027,ORGANISM,14.0,HEOS,,,,
CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccc3c(c2)CCNC3)c1,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)c2ccc3c(c2)CCNC3)c1,.,= ,19.94,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
