COMPOUND_ID	ASSAY_ID	MEASUREMENT_TYPE	STATUS	VALUE	UPPER_VALUE	UNIT	SD_MINUS	SD_PLUS	ACTIVITY_COMMENT
DNDI1551242	1327100	IC90	= 	.003263		uM			
DNDI1551242	1327097	IC50	= 	52.8		uM			
DNDI1551242	1035348	IC50	= 	.001029		uM			
DNDI1551249	1000252	EH	= 	.73		none			
DNDI1551249	1000253	EH	= 	.67		none			
DNDI1551249	1007173	logD	= 	3.1		none			
DNDI1551249	1007174	Kinetic	= 	12.5		ug/ml			
DNDI1551249	1007175	Kinetic	> 	100		ug/ml			
DNDI1551249	1007176	logD	= 	1.6		none			
DNDI1551249	1007804	t (1 / 2)	= 	35.5		Min			
DNDI1551249	1007806	CLint in vitro	= 	48.8		uL/min/mg			
DNDI1551249	1007989	CLint in vitro	= 	62.6		uL/min/mg			
DNDI1551249	1007990	t (1 / 2)	= 	27.7		Min			
DNDI1551249	1008020	IC50	= 	2.6		uM			
DNDI1551249	1035348	IC50	= 	.094		uM			
DNDI1551249	1327097	IC50	= 	62.5		uM			
DNDI1551249	1327100	IC90	= 	.2795		uM			
DNDI1551250	1000252	EH	= 	.91		none			
DNDI1551250	1000253	EH	= 	.92		none			
DNDI1551250	1007173	logD	= 	4.2		none			
DNDI1551250	1007174	Kinetic	= 	6.3		ug/ml			
DNDI1551250	1007175	Kinetic	> 	100		ug/ml			
DNDI1551250	1007176	logD	= 	2.4		none			
DNDI1551250	1007804	t (1 / 2)	= 	9.9		Min			
DNDI1551250	1007806	CLint in vitro	= 	174.8		uL/min/mg			
DNDI1551250	1007989	CLint in vitro	= 	357		uL/min/mg			
DNDI1551250	1007990	t (1 / 2)	= 	4.9		Min			
DNDI1551250	1008020	IC50	= 	.8		uM			
DNDI1551250	1035348	IC50	= 	.000595		uM			
DNDI1551250	1038090	% inhibition	= 	42.9		%			
DNDI1551250	1327097	IC50	= 	50.61		uM			
DNDI1551250	1327100	IC90	= 	.001928		uM			
DNDI1551251	1000252	EH	= 	.8		none			
DNDI1551251	1000253	EH	= 	.85		none			
DNDI1551251	1007173	logD	= 	3.4		none			
DNDI1551251	1007174	Kinetic	= 	12.5		ug/ml			
DNDI1551251	1007175	Kinetic	> 	100		ug/ml			
DNDI1551251	1007176	logD	= 	1.6		none			
DNDI1551251	1007804	t (1 / 2)	= 	24		Min			
DNDI1551251	1007806	CLint in vitro	= 	72.3		uL/min/mg			
DNDI1551251	1007989	CLint in vitro	= 	170.9		uL/min/mg			
DNDI1551251	1007990	t (1 / 2)	= 	10.1		Min			
DNDI1551251	1008020	IC50	= 	1.5		uM			
DNDI1551251	1035348	IC50	= 	.0058165		uM			
DNDI1551251	1327097	IC50	= 	78.19		uM			
DNDI1551251	1327100	IC90	= 	.01338225		uM			
DNDI1551252	1000252	EH	= 	.89		none			
DNDI1551252	1000253	EH	= 	.88		none			
DNDI1551252	1007173	logD	= 	3.8		none			
DNDI1551252	1007174	Kinetic	= 	6.3		ug/ml			
DNDI1551252	1007175	Kinetic	> 	100		ug/ml			
DNDI1551252	1007176	logD	= 	2.1		none			
DNDI1551252	1007804	t (1 / 2)	= 	12.5		Min			
DNDI1551252	1007806	CLint in vitro	= 	138.6		uL/min/mg			
DNDI1551252	1007989	CLint in vitro	= 	230.9		uL/min/mg			
DNDI1551252	1007990	t (1 / 2)	= 	7.5		Min			
DNDI1551252	1008020	IC50	= 	1.9		uM			
DNDI1551252	1035348	IC50	= 	.01598		uM			
DNDI1551252	1327097	IC50	= 	52.53		uM			
DNDI1551252	1327100	IC90	= 	.06166		uM			
DNDI1578291	1035348	IC50	= 	.005118		uM			
DNDI1578291	1327097	IC50	= 	22.25		uM			
DNDI1578291	1327100	IC90	= 	.0099025		uM			
DNDI1596467	1000252	EH	= 	.88		none			
DNDI1596467	1000253	EH	= 	.81		none			
DNDI1596467	1007173	logD	= 	4.2		none			
DNDI1596467	1007174	Kinetic	= 	6.3		ug/ml			
DNDI1596467	1007175	Kinetic	> 	100		ug/ml			
DNDI1596467	1007176	logD	= 	3.1		none			
DNDI1596467	1007804	t (1 / 2)	= 	13.8		Min			
DNDI1596467	1007806	CLint in vitro	= 	125.8		uL/min/mg			
DNDI1596467	1007989	CLint in vitro	= 	131.1		uL/min/mg			
DNDI1596467	1007990	t (1 / 2)	= 	13.2		Min			
DNDI1596467	1034081	IC50	= 	1.9		uM			
DNDI1596467	1035348	IC50	= 	.0026625		uM			
DNDI1596467	1327097	IC50	= 	55.39		uM			
DNDI1596467	1327100	IC90	= 	.007591		uM			
DNDI1596468	1000252	EH	= 	.93		none			
DNDI1596468	1000253	EH	= 	.7		none			
DNDI1596468	1007173	logD	= 	4.4		none			
DNDI1596468	1007174	Kinetic	= 	1.6		ug/ml			
DNDI1596468	1007175	Kinetic	> 	100		ug/ml			
DNDI1596468	1007176	logD	= 	3.5		none			
DNDI1596468	1007804	t (1 / 2)	= 	7		Min			
DNDI1596468	1007806	CLint in vitro	= 	247.3		uL/min/mg			
DNDI1596468	1007989	CLint in vitro	= 	72.1		uL/min/mg			
DNDI1596468	1007990	t (1 / 2)	= 	24		Min			
DNDI1596468	1034081	IC50	= 	1.7		uM			
DNDI1596468	1035348	IC50	= 	.000618		uM			
DNDI1596468	1038090	% inhibition	= 	66.3		%			
DNDI1596468	1327097	IC50	= 	20.14		uM			
