ASSAY_ID	REFERENCE_ID	ASSAY_DESCRIPTION	ASSAY_TYPE	ASSAY_TEST_TYPE	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	ASSAY_TISSUE	ASSAY_CELL_LINE	ASSAY_SUBCELLULAR_FRACTION	TARGET_TYPE	TARGET_NAME	TARGET_ACCESSION	TARGET_ORGANISM	TARGET_TAX_ID	SRC_ID	ASSAY_SOURCE
1035348	1	Chagas in Vitro	F	In Vitro	T. cruzi	Tulahuen C4 (LacZ)					ORGANISM	T. cruzi				14	HEOS
1327100	1	Chagas in Vitro	F	In Vitro	T. cruzi	Tulahuen C4 (LacZ)					ORGANISM	T. cruzi				14	HEOS
1331134	1	Chagas in vivo at 10 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331149	1	Chagas in vivo at 100 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331117	1	Chagas in vivo at 20 mg/kg, 10 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331121	1	Chagas in vivo at 20 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331118	1	Chagas in vivo at 20 mg/kg, 5 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331133	1	Chagas in vivo at 5 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1331137	1	Chagas in vivo at 50 mg/kg, 20 adm days	F	In Vivo	T. cruzi	Tulahuen Swiss po					ORGANISM	T. cruzi				14	HEOS
1008058	1	CYP Inhibition	A	In Vitro	CYP1A2	unknown					ORGANISM	CYP1A2				14	HEOS
1008059	1	CYP Inhibition	A	In Vitro	CYP2C19	unknown					ORGANISM	CYP2C19				14	HEOS
1008055	1	CYP Inhibition	A	In Vitro	CYP2C9	unknown					ORGANISM	CYP2C9				14	HEOS
1008056	1	CYP Inhibition	A	In Vitro	CYP2D6	unknown					ORGANISM	CYP2D6				14	HEOS
1008020	1	CYP Inhibition	F	In Vitro	CYP3A4	midazolam					ORGANISM	CYP3A4				14	HEOS
1034081	1	CYP Inhibition	A	In Vitro	CYP3A4	midazolam					ORGANISM	CYP3A4				14	HEOS
1042700	1	CYP Inhibition	A	In Vitro	CYP3A4	Nifedipine					ORGANISM	CYP3A4				14	HEOS
1042922	1	CYP Inhibition	A	In Vitro	CYP3A4	terfenadine					ORGANISM	CYP3A4				14	HEOS
1034082	1	CYP Inhibition	A	In Vitro	CYP3A4	testosterone					ORGANISM	CYP3A4				14	HEOS
1008057	1	CYP Inhibition	A	In Vitro	CYP3A4	unknown					ORGANISM	CYP3A4				14	HEOS
1327097	1	Cytotoxicity in Vitro	F	In Vitro	L-6 cells	Rat Skeletal Myoblast Cells					ORGANISM	L-6 cells				14	HEOS
1327661	1	HAT in Vitro	F	In Vitro	T.b. rhodesiense	ATCC 30027					ORGANISM	T.b. rhodesiense				14	HEOS
1038090	1	Leish macro in vitro at 10 uM	F	In Vitro	L. donovani	MHOM/ET/67/L82					ORGANISM	L. donovani				14	HEOS
1038564	1	Lipophilicity	A	In Vitro	eLogD	pH 5					ORGANISM	eLogD				14	HEOS
1000251	1	Lipophilicity	A	In Vitro	eLogD	pH 7.4					ORGANISM	eLogD				14	HEOS
1007988	1	Lipophilicity	A	In Vitro	gLogD	pH 3					ORGANISM	gLogD				14	HEOS
