smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,REFERENCE_ID,ASSAY_TYPE,ASSAY_ORGANISM,ASSAY_STRAIN,TARGET_TYPE,SRC_ID,ASSAY_SOURCE,UPPER_VALUE,SD_MINUS,SD_PLUS,ACTIVITY_COMMENT
CC(C)(C)OC(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CC(C)(C)OC(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,0.003263,T. cruzi,,,uM,,IC90,In Vitro,,Chagas in Vitro,set10-1,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
CC(C)(C)OC(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CC(C)(C)OC(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,52.8,L-6 cells,,,uM,,IC50,In Vitro,,Cytotoxicity in Vitro,set10-1,1.0,F,L-6 cells,Rat Skeletal Myoblast Cells,ORGANISM,14.0,HEOS,,,,
CC(C)(C)OC(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CC(C)(C)OC(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,0.001029,T. cruzi,,,uM,,IC50,In Vitro,,Chagas in Vitro,set10-1,1.0,F,T. cruzi,Tulahuen C4 (LacZ),ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,0.73,Human,,,none,,EH,In Vitro,,Metabolism,set10-1,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,0.67,Rat,,,none,,EH,In Vitro,,Metabolism,set10-1,1.0,A,Rat,Microsomes,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,3.1,gLogD,,,none,,logD,In Vitro,,Lipophilicity,set10-1,1.0,A,gLogD,pH 7.4,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,12.5,Phosphate Buffer - pH 6.5,,,ug/ml,,Kinetic,In Vitro,,Solubility,set10-1,1.0,A,Phosphate Buffer - pH 6.5,NEPH_RT,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,1.6,gLogD,,,none,,logD,In Vitro,,Lipophilicity,set10-1,1.0,A,gLogD,pH 3.0,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,35.5,Human,,,Min,,t (1 / 2),In Vitro,,Metabolism,set10-1,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,48.8,Human,,,uL/min/mg,,CLint in vitro,In Vitro,,Metabolism,set10-1,1.0,A,Human,Microsomes,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,62.6,Rat,,,uL/min/mg,,CLint in vitro,In Vitro,,Metabolism,set10-1,1.0,A,Rat,Microsomes,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,27.7,Rat,,,Min,,t (1 / 2),In Vitro,,Metabolism,set10-1,1.0,A,Rat,Microsomes,ORGANISM,14.0,HEOS,,,,
CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,CS(=O)(=O)N1CCC(N(c2ccc(Cl)cc2)c2cccnc2)CC1,.,= ,2.6,CYP3A4,,,uM,,IC50,In Vitro,,CYP Inhibition,set10-1,1.0,F,CYP3A4,midazolam,ORGANISM,14.0,HEOS,,,,
