COMPOUND_ID	REFERENCE_ID	COMPOUND_NAME	COMPOUND_KEY	SRC_ID	COMPOUND_SOURCE
DNDI1697549	1		DNDI1697549	14	HEOS
DNDI1800292	1		DNDI1800292	14	HEOS
DNDI1800293	1		DNDI1800293	14	HEOS
DNDI1800294	1		DNDI1800294	14	HEOS
DNDI1808272	1		DNDI1808272	14	HEOS
DNDI1808297	1		DNDI1808297	14	HEOS
DNDI1808298	1		DNDI1808298	14	HEOS
DNDI1808299	1		DNDI1808299	14	HEOS
DNDI1808960	1		DNDI1808960	14	HEOS
DNDI1809580	1		DNDI1809580	14	HEOS
DNDI1809921	1		DNDI1809921	14	HEOS
DNDI1809922	1		DNDI1809922	14	HEOS
DNDI1809923	1		DNDI1809923	14	HEOS
DNDI1809924	1		DNDI1809924	14	HEOS
DNDI1810521	1		DNDI1810521	14	HEOS
DNDI1810522	1		DNDI1810522	14	HEOS
DNDI1813380	1		DNDI1813380	14	HEOS
DNDI1813382	1		DNDI1813382	14	HEOS
DNDI1813385	1		DNDI1813385	14	HEOS
DNDI1845811	1		DNDI1845811	14	HEOS
DNDI1845898	1		DNDI1845898	14	HEOS
