ACT_ID	CIDX	AIDX	RIDX	TYPE	RELATION	VALUE	UPPER_VALUE	UNITS	TEXT_VALUE	ACTIVITY_COMMENT	CRIDX
ACT_INH_0001	DOM_SIM_001	1_LEY	LEY_VERO	inhibition	=	0.12		%			LEY_VERO
ACT_INH_0002	DOM_SIM_002	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
ACT_INH_0003	DOM_SIM_003	1_LEY	LEY_VERO	inhibition	=	0.43		%			LEY_VERO
ACT_INH_0004	DOM_SIM_004	1_LEY	LEY_VERO	inhibition	=	0.2		%			LEY_VERO
ACT_INH_0005	DOM_SIM_005	1_LEY	LEY_VERO	inhibition	=	0.14		%			LEY_VERO
ACT_INH_0006	DOM_SIM_006	1_LEY	LEY_VERO	inhibition	=	0.05		%			LEY_VERO
ACT_INH_0007	DOM_SIM_007	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
ACT_INH_0008	DOM_SIM_008	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
ACT_INH_0009	DOM_SIM_009	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0010	DOM_SIM_010	1_LEY	LEY_VERO	inhibition	=	-0.23		%			LEY_VERO
ACT_INH_0011	DOM_SIM_011	1_LEY	LEY_VERO	inhibition	=	0.51		%			LEY_VERO
ACT_INH_0012	DOM_SIM_012	1_LEY	LEY_VERO	inhibition	=	0.16		%			LEY_VERO
ACT_INH_0013	DOM_SIM_013	1_LEY	LEY_VERO	inhibition	=	-0.06		%			LEY_VERO
ACT_INH_0014	DOM_SIM_014	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0015	DOM_SIM_015	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0016	DOM_SIM_016	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0017	DOM_SIM_017	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0018	DOM_SIM_018	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0019	DOM_SIM_019	1_LEY	LEY_VERO	inhibition	=	0.19		%			LEY_VERO
ACT_INH_0020	DOM_SIM_020	1_LEY	LEY_VERO	inhibition	=	1.24		%			LEY_VERO
ACT_INH_0021	DOM_SIM_021	1_LEY	LEY_VERO	inhibition	=	0.18		%			LEY_VERO
ACT_INH_0022	DOM_SIM_022	1_LEY	LEY_VERO	inhibition	=	0.09		%			LEY_VERO
ACT_INH_0023	DOM_SIM_023	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0024	DOM_SIM_024	1_LEY	LEY_VERO	inhibition	=	1.27		%			LEY_VERO
ACT_INH_0025	DOM_SIM_025	1_LEY	LEY_VERO	inhibition	=	-0.06		%			LEY_VERO
ACT_INH_0026	DOM_SIM_026	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0027	DOM_SIM_027	1_LEY	LEY_VERO	inhibition	=	-0.03		%			LEY_VERO
ACT_INH_0028	DOM_SIM_028	1_LEY	LEY_VERO	inhibition	=	0.48		%			LEY_VERO
