ACT_ID	SAM_ID
ACT_CC50_001	SAM_CC50_001
ACT_CC50_002	SAM_CC50_002
ACT_CC50_003	SAM_CC50_003
ACT_CC50_004	SAM_CC50_004
ACT_CC50_005	SAM_CC50_005
ACT_CC50_006	SAM_CC50_006
ACT_CC50_007	SAM_CC50_007
ACT_CC50_008	SAM_CC50_008
ACT_CC50_009	SAM_CC50_009
ACT_CC50_010	SAM_CC50_010
ACT_CC50_011	SAM_CC50_011
ACT_CC50_012	SAM_CC50_012
ACT_CC50_013	SAM_CC50_013
ACT_CC50_014	SAM_CC50_014
ACT_CC50_015	SAM_CC50_015
ACT_CC50_016	SAM_CC50_016
ACT_CC50_017	SAM_CC50_017
ACT_CC50_018	SAM_CC50_018
ACT_CC50_019	SAM_CC50_019
ACT_CC50_020	SAM_CC50_020
ACT_CC50_021	SAM_CC50_021
ACT_CC50_022	SAM_CC50_022
ACT_CC50_023	SAM_CC50_023
ACT_CC50_024	SAM_CC50_024
ACT_CC50_025	SAM_CC50_025
ACT_CC50_026	SAM_CC50_026
ACT_CC50_027	SAM_CC50_027
ACT_CC50_028	SAM_CC50_028
ACT_CC50_029	SAM_CC50_029
ACT_CC50_030	SAM_CC50_030
ACT_CC50_031	SAM_CC50_031
ACT_CC50_032	SAM_CC50_032
ACT_CC50_033	SAM_CC50_033
ACT_CC50_034	SAM_CC50_034
ACT_CC50_035	SAM_CC50_035
ACT_CC50_036	SAM_CC50_036
ACT_CC50_037	SAM_CC50_037
ACT_CC50_038	SAM_CC50_038
ACT_CC50_039	SAM_CC50_039
ACT_CC50_040	SAM_CC50_040
ACT_CC50_041	SAM_CC50_041
ACT_CC50_042	SAM_CC50_042
ACT_CC50_043	SAM_CC50_043
ACT_CC50_044	SAM_CC50_044
ACT_CC50_045	SAM_CC50_045
ACT_CC50_046	SAM_CC50_046
ACT_CC50_047	SAM_CC50_047
ACT_CC50_048	SAM_CC50_048
ACT_CC50_049	SAM_CC50_049
ACT_CC50_050	SAM_CC50_050
ACT_CC50_051	SAM_CC50_051
ACT_CC50_052	SAM_CC50_052
ACT_CC50_053	SAM_CC50_053
ACT_CC50_054	SAM_CC50_054
ACT_CC50_055	SAM_CC50_055
ACT_CC50_056	SAM_CC50_056
