CIDX	RIDX	COMPOUND_NAME	COMPOUND_KEY
DOM_SIM_001	LEY_VERO	Metaxalone 	Metaxalone 
DOM_SIM_002	LEY_VERO	6-Hydroxyhyoscyamine	6-Hydroxyhyoscyamine
DOM_SIM_003	LEY_VERO	Hydroxyectoin	Hydroxyectoin
DOM_SIM_004	LEY_VERO	Hydrocortisone 17-butyrate	Hydrocortisone 17-butyrate
DOM_SIM_005	LEY_VERO	Actarit 	Actarit 
DOM_SIM_006	LEY_VERO	NG-nitro-arginine	NG-nitro-arginine
DOM_SIM_007	LEY_VERO	Nepafenac 	Nepafenac 
DOM_SIM_008	LEY_VERO	Amisulpride 	Amisulpride 
DOM_SIM_009	LEY_VERO	Prulifloxacin 	Prulifloxacin 
DOM_SIM_010	LEY_VERO	Ticagrelor 	Ticagrelor 
DOM_SIM_011	LEY_VERO	Clofazimina	Clofazimina
DOM_SIM_012	LEY_VERO	cis-urocanic-acid	cis-urocanic-acid
DOM_SIM_013	LEY_VERO	L-Pyroglutamic_acid	L-Pyroglutamic_acid
DOM_SIM_014	LEY_VERO	Aceneuramic_acid sodium salt 	Aceneuramic_acid sodium salt 
DOM_SIM_015	LEY_VERO	Fluorofur	Fluorofur
DOM_SIM_016	LEY_VERO	Oxiracetam 	Oxiracetam 
DOM_SIM_017	LEY_VERO	(E)-Caryophyllene	(E)-Caryophyllene
DOM_SIM_018	LEY_VERO	Pazufloxacin 	Pazufloxacin 
DOM_SIM_019	LEY_VERO	(5-fluoro-3-pyridyl)methanol	(5-fluoro-3-pyridyl)methanol
DOM_SIM_020	LEY_VERO	IB-1001	IB-1001
DOM_SIM_021	LEY_VERO	Cefuroxime sodium	Cefuroxime sodium
DOM_SIM_022	LEY_VERO	Proscillaridin 	Proscillaridin 
DOM_SIM_023	LEY_VERO	Pimonidazole hydrochloride 	Pimonidazole hydrochloride 
DOM_SIM_024	LEY_VERO	Ritanserin 	Ritanserin 
DOM_SIM_025	LEY_VERO	Agomelatine 	Agomelatine 
DOM_SIM_026	LEY_VERO	Capecitabine 	Capecitabine 
DOM_SIM_027	LEY_VERO	Enalaprilat 	Enalaprilat 
DOM_SIM_028	LEY_VERO	CID54189144	CID54189144
DOM_SIM_029	LEY_VERO	Cinacalcet hydrochloride 	Cinacalcet hydrochloride 
DOM_SIM_030	LEY_VERO	Cefixime 	Cefixime 
DOM_SIM_031	LEY_VERO	Enrofloxacin 	Enrofloxacin 
DOM_SIM_032	LEY_VERO	Levofloxacin 	Levofloxacin 
DOM_SIM_033	LEY_VERO	Ubenimex 	Ubenimex 
DOM_SIM_034	LEY_VERO	Amfenac sodium 	Amfenac sodium 
DOM_SIM_035	LEY_VERO	Loxoribine 	Loxoribine 
DOM_SIM_036	LEY_VERO	9-Aminocamptothecin	9-Aminocamptothecin
DOM_SIM_037	LEY_VERO	1-MT	1-MT
DOM_SIM_038	LEY_VERO	Trandolapril 	Trandolapril 
DOM_SIM_039	LEY_VERO	Nilotinib hydrochloride monohydrate 	Nilotinib hydrochloride monohydrate 
DOM_SIM_040	LEY_VERO	Homotaurine	Homotaurine
DOM_SIM_041	LEY_VERO	Procysteine	Procysteine
DOM_SIM_042	LEY_VERO	Orotic_acid	Orotic_acid
DOM_SIM_043	LEY_VERO	Hyperin	Hyperin
DOM_SIM_044	LEY_VERO	Uridine triphosphate	Uridine triphosphate
DOM_SIM_045	LEY_VERO	Betamipron 	Betamipron 
DOM_SIM_046	LEY_VERO	Eprodisate disodium 	Eprodisate disodium 
DOM_SIM_047	LEY_VERO	Iguratimod 	Iguratimod 
DOM_SIM_048	LEY_VERO	Tolcapone 	Tolcapone 
DOM_SIM_049	LEY_VERO	Lansoprazole 	Lansoprazole 
DOM_SIM_050	LEY_VERO	Naringeninic_acid	Naringeninic_acid
DOM_SIM_051	LEY_VERO	Nicotine	Nicotine
DOM_SIM_052	LEY_VERO	(-)-Linalool	(-)-Linalool
DOM_SIM_053	LEY_VERO	Adefovir 	Adefovir 
DOM_SIM_054	LEY_VERO	Metirosine 	Metirosine 
DOM_SIM_055	LEY_VERO	Luminol sodium salt	Luminol sodium salt
DOM_SIM_056	LEY_VERO	1,2-Dimethyl-2H-pyridine-3,4-dione	1,2-Dimethyl-2H-pyridine-3,4-dione
DOM_SIM_057	LEY_VERO	Torcitabine 	Torcitabine 
DOM_SIM_058	LEY_VERO	Nevirapine 	Nevirapine 
DOM_SIM_059	LEY_VERO	Trientine hydrochloride 	Trientine hydrochloride 
DOM_SIM_060	LEY_VERO	Oxfenicine 	Oxfenicine 
DOM_SIM_061	LEY_VERO	D-Methionine	D-Methionine
DOM_SIM_062	LEY_VERO	Otenzepad 	Otenzepad 
DOM_SIM_063	LEY_VERO	Orlipastat 	Orlipastat 
DOM_SIM_064	LEY_VERO	Retapamulin 	Retapamulin 
DOM_SIM_065	LEY_VERO	Desogestrel 	Desogestrel 
DOM_SIM_066	LEY_VERO	Carmofur 	Carmofur 
DOM_SIM_067	LEY_VERO	Carebastine 	Carebastine 
DOM_SIM_068	LEY_VERO	Amlexanox 	Amlexanox 
DOM_SIM_069	LEY_VERO	Chlormadinone acetate	Chlormadinone acetate
DOM_SIM_070	LEY_VERO	Adrenaline	Adrenaline
DOM_SIM_071	LEY_VERO	Moguisteine 	Moguisteine 
DOM_SIM_072	LEY_VERO	Climbazole 	Climbazole 
DOM_SIM_073	LEY_VERO	Tributyrin	Tributyrin
DOM_SIM_074	LEY_VERO	Adrafinil 	Adrafinil 
DOM_SIM_075	LEY_VERO	ID-1101	ID-1101
DOM_SIM_076	LEY_VERO	SN-38	SN-38
DOM_SIM_077	LEY_VERO	Oltipraz 	Oltipraz 
DOM_SIM_078	LEY_VERO	Rupatadine fumarate 	Rupatadine fumarate 
DOM_SIM_079	LEY_VERO	Pravadoline 	Pravadoline 
DOM_SIM_080	LEY_VERO	2-Deoxy-D-glucose	2-Deoxy-D-glucose
DOM_SIM_081	LEY_VERO	asymmetrical-dimethylarginine	asymmetrical-dimethylarginine
DOM_SIM_082	LEY_VERO	Hydralazine	Hydralazine
DOM_SIM_083	LEY_VERO	Streptozocin 	Streptozocin 
DOM_SIM_084	LEY_VERO	Linifanib 	Linifanib 
DOM_SIM_085	LEY_VERO	Entinostat 	Entinostat 
DOM_SIM_086	LEY_VERO	Desvenlafaxine succinate 	Desvenlafaxine succinate 
DOM_SIM_087	LEY_VERO	Pramiracetam hydrochloride 	Pramiracetam hydrochloride 
DOM_SIM_088	LEY_VERO	CID9863537	CID9863537
DOM_SIM_089	LEY_VERO	Didox	Didox
DOM_SIM_090	LEY_VERO	Clindamycin hydrochloride 	Clindamycin hydrochloride 
DOM_SIM_091	LEY_VERO	Carnosine	Carnosine
DOM_SIM_092	LEY_VERO	Cilastatin sodium 	Cilastatin sodium 
DOM_SIM_093	LEY_VERO	Rivaroxaban 	Rivaroxaban 
DOM_SIM_094	LEY_VERO	Enzastaurin hydrochloride 	Enzastaurin hydrochloride 
DOM_SIM_095	LEY_VERO	BMS-754807	BMS-754807
DOM_SIM_096	LEY_VERO	Alogliptin benzoate 	Alogliptin benzoate 
DOM_SIM_097	LEY_VERO	Pidotimod 	Pidotimod 
DOM_SIM_098	LEY_VERO	Equol	Equol
DOM_SIM_099	LEY_VERO	SAB-378	SAB-378
DOM_SIM_100	LEY_VERO	Resveratrol	Resveratrol
DOM_SIM_101	LEY_VERO	SDZ-201 106 (+/-)	SDZ-201 106 (+/-)
DOM_SIM_102	LEY_VERO	Doripenem 	Doripenem 
DOM_SIM_103	LEY_VERO	Eniluracil 	Eniluracil 
DOM_SIM_104	LEY_VERO	Malotilate 	Malotilate 
DOM_SIM_105	LEY_VERO	2-methoxyestradiol	2-methoxyestradiol
DOM_SIM_106	LEY_VERO	Rabusertib 	Rabusertib 
DOM_SIM_107	LEY_VERO	Daporinad 	Daporinad 
DOM_SIM_108	LEY_VERO	Rilpivirine hydrochloride 	Rilpivirine hydrochloride 
DOM_SIM_109	LEY_VERO	FK-962	FK-962
DOM_SIM_110	LEY_VERO	Riociguat 	Riociguat 
DOM_SIM_111	LEY_VERO	Drotaverine hydrochloride	Drotaverine hydrochloride
DOM_SIM_112	LEY_VERO	Tiludronate disodium	Tiludronate disodium
DOM_SIM_113	LEY_VERO	Bromfenac 	Bromfenac 
DOM_SIM_114	LEY_VERO	Amuvatinib 	Amuvatinib 
DOM_SIM_115	LEY_VERO	Mizoribine 	Mizoribine 
