CIDX	RIDX	COMPOUND_NAME	COMPOUND_KEY	COMPOUND_SOURCE
SCH 28080	1	SCH 28080	SCH 28080	Tocris
Digitoxigenin	1	Digitoxigenin	Digitoxigenin	Molport (sourced from Cayman Europe)
Ischemin sodium salt	1	Ischemin sodium salt	Ischemin sodium salt	Tocris
GNE-272	1	GNE-272	GNE-272	Molport (sourced from MedChemExpress Europe)
UNC3866	1	UNC3866	UNC3866	Molport (sourced from Angene)
SNS 032	1	SNS 032	SNS 032	Tocris
AST 487	1	AST 487	AST 487	Molport (sourced from TargetMol)
AT7519	1	AT7519	AT7519	Mcule (sourced from TargetMol)
Staurosporine	1	Staurosporine	Staurosporine	Molport (sourced from TargetMol)
TG100-115	1	TG100-115	TG100-115	Molport (sourced from TargetMol)
CC671	1	CC671	CC671	Molport (sourced from TargetMol)
GSK 1838705	1	GSK 1838705	GSK 1838705	Tocris
KW2449	1	KW2449	KW2449	Mcule (sourced from TargetMol)
INDY	1	INDY	INDY	Tocris
Oprea1_375507	1	2-[2-amino-5-(2-methyl-1.3-thiazol-4-yl)pyrimidin-4-yl]-5-methoxyphenol	Oprea1_375507	Molport (sourced from Otava Ltd)
S7188	1	CID755673	S7188	Mcule (sourced from Selleckchem)
Harmine	1	Harmine	Harmine	Mcule (sourced from Molnova)
CGP 60474	1	CGP 60474	CGP 60474	Tocris
TC-S 7004	1	TC-S 7004	TC-S 7004	Tocris
AZ 191	1	AZ 191	AZ 191	Tocris
AZ Dyrk1B 33	1	AZ Dyrk1B 33	AZ Dyrk1B 33	Tocris
BIO	1	BIO	BIO	Tocris
AS605240	1	AS605240, free base	AS605240	Mcule (sourced from Apollo Scientific)
A-674563	1	A-674563	A-674563	Molport (sourced from Selleck Chemicals)
R 547	1	R 547	R 547	Tocris
SB203580	1	SB203580	SB203580	Mcule (sourced from TargetMol)
PD173955	1	PD173955	PD173955	Molport (sourced from TargetMol)
Givinostat	1	Givinostat hydrochloride	Givinostat	Tocris
Pracinostat	1	Pracinostat	Pracinostat	Molport (sourced from TargetMol)
MPT0E014	1	MPT0E014	MPT0E014	Molport (sourced from BIONET - Key Organics Ltd)
Abexinostat	1	PCI-24781; Abexinostat	Abexinostat	Mcule (sourced from Molnova)
BRD-6929	1	4-(Acetylamino)-N-[2-amino-5-(2-thienyl)phenyl]-benzamide	BRD-6929	Molport (sourced from Otava Ltd)
Rocilinostat	1	Rocilinostat	Rocilinostat	Mcule (sourced from Molnova)
Santacruzamate A	1	Santacruzamate A	Santacruzamate A	Tocris
Pyroxamide	1	Pyroxamide	Pyroxamide	Mcule (sourced from AK Scientific)
Dacinostat	1	LAQ824 (Dacinostat)	Dacinostat	Mcule (sourced from Molnova)
Fimepinostat	1	PI3K/HDAC Inhibitor	Fimepinostat	Molport (sourced from TargetMol)
ACY738	1	ACY738	ACY738	Molport (sourced from TargetMol)
BRD4884	1	BRD4884	BRD4884	Molport (sourced from Cayman Europe)
Hinokitiol	1	Hinokitiol	Hinokitiol	Mcule (sourced from BLD Pharm)
CUDC101	1	CUDC101	CUDC101	Molport (sourced from TargeMol)
Scriptaid	1	Scriptaid	Scriptaid	Tocris
