Compound name 	Smile
CHEMBL47529	Cc1nc2c(OCc3ccccc3)cccn2c1CC#N
CHEMBL1453	C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4(C)[C@H](CC[C@]34O)C5=CC(=O)OC5
CHEMBL1615026	Cc1cc(\N=N\c2cc(c(C)cc2C)S(=O)(=O)O)c(N)cc1O
CHEMBL3897393	CC(=O)N1CCc2c(C1)c(Nc3ccc(cc3F)c4cnn(C)c4)nn2[C@H]5CCOC5
CHEMBL3939958	CCN(CC)CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2ccc(cc2)C(C)(C)C)C(=O)N[C@@H](CO)C(=O)OC
CHEMBL296468	CC(C)(C)c1oc(CSc2cnc(NC(=O)C3CCNCC3)s2)nc1
CHEMBL574738	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1
CHEMBL445813	Clc1cccc(Cl)c1C(=O)Nc2c[nH]nc2C(=O)NC3CCNCC3
CHEMBL388978	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35
CHEMBL230011	Nc1nc(N)c2nc(c3cccc(O)c3)c(nc2n1)c4cccc(O)c4
CHEMBL4062218	CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c4c(c[nH]c4n2)c5ccc6nc(C)oc6c5)c(OC)c1
CHEMBL464552	CNC(=O)c1c(F)cccc1Nc2nc(Nc3cc4N(CCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25
CHEMBL1908397	O=C(N1CCNCC1)c2ccc(\C=C\c3n[nH]c4ccccc34)cc2
CHEMBL1232500	CCN1\C(=C\C(=O)C)\Sc2ccc(O)cc12
CHEMBL1310556	COc1ccc(c(O)c1)c2nc(N)ncc2c3csc(C)n3
CHEMBL1450770	Oc1ccc2oc3C(=O)NCCCc3c2c1
CHEMBL269538	COc1ccc2c(c1)[nH]c3c(C)nccc23
CHEMBL300389	OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2
CHEMBL3094448	COc1ncc2C=C(C(=O)Nc3cc(ccc3Cl)C(=O)NCc4cccc(Cl)c4)C(=O)Nc2n1
CHEMBL3421968	COc1cc(ccc1Nc2nccc(n2)c3cn(C)c4cnccc34)N5CCN(C)CC5
CHEMBL3421980	Cc1nccc(n1)c2cn(Cc3ccccc3)c4cnccc24
CHEMBL409450	O\N=C/1\C(=C/2\C(=O)Nc3cc(Br)ccc23)\Nc4ccccc14
CHEMBL568150	O=C1NC(=O)\C(=C\c2ccc3nccnc3c2)\S1
CHEMBL379218	Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4ccccc4)c3
CHEMBL384304	COc1ccc(F)c(F)c1C(=O)c2cnc(NC3CCN(CC3)S(=O)(=O)C)nc2N
CHEMBL10	C[S+]([O-])c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4
CHEMBL386051	CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1
CHEMBL1213492	CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(cc3)C(=O)NO)ccc2c1
CHEMBL1851943	CCCCc1nc2cc(\C=C\C(=O)NO)ccc2n1CCN(CC)CC
CHEMBL2048746	ONC(=O)\C=C\c1ccc2c(ccn2S(=O)(=O)c3ccccc3)c1
CHEMBL2103863	CN(C)Cc1c(oc2ccccc12)C(=O)NCCOc3ccc(cc3)C(=O)NO
CHEMBL235842	CC(=O)Nc1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3
CHEMBL2364628	ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c2ccccc2)c3ccccc3
CHEMBL3086767	CCOC(=O)NCCCC(=O)NCCc1ccccc1
CHEMBL353581	ONC(=O)CCCCCCC(=O)Nc1cccnc1
CHEMBL356066	OCCN(CCc1c[nH]c2ccccc12)Cc3ccc(\C=C\C(=O)NO)cc3
CHEMBL3622533	COc1ccc(cn1)c2nc(N3CCOCC3)c4sc(CN(C)c5ncc(cn5)C(=O)NO)cc4n2
CHEMBL3655950	ONC(=O)c1cnc(NC2(CC2)c3ccccc3)nc1
CHEMBL3828396	Nc1ccc(cc1NC(=O)C2CCOCC2)c3ccc(F)cc3
CHEMBL48310	CC(C)C1=CC=CC(=O)C(=C1)O
