COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1005349	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005349	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005349	1000986	=	.3	ug/ml	SCYNEXIS
DNDI1005349	1005454	=	32	Min	SCYNEXIS
DNDI1005349	1005451	=	27	uL/min/mg	SCYNEXIS
DNDI1005350	1005454	=	107	Min	SCYNEXIS
DNDI1005350	1005451	=	8	uL/min/mg	SCYNEXIS
DNDI1005350	1004748	=	2	uM	SCYNEXIS
DNDI1005350	1000986	=	.16	ug/ml	SCYNEXIS
DNDI1005350	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005350	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005350	1000249	=	6.02	none	SCYNEXIS
DNDI1005389	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005389	1004728	=	38.91	ug/ml	SCYNEXIS
DNDI1005389	1000986	=	.12	ug/ml	SCYNEXIS
DNDI1005389	1000249	=	6.5	none	SCYNEXIS
DNDI1005389	1005412	=	4.5	day	SCYNEXIS
DNDI1005389	1004748	=	2	uM	SCYNEXIS
DNDI1005389	1005454	=	14	Min	SCYNEXIS
DNDI1005389	1005451	=	60	uL/min/mg	SCYNEXIS
DNDI1005390	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005390	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005390	1000986	=	.08	ug/ml	SCYNEXIS
DNDI1005390	1000249	=	6.45	none	SCYNEXIS
DNDI1005390	1005412	=	4	day	SCYNEXIS
DNDI1005390	1004748	<	1	uM	SCYNEXIS
DNDI1005390	1005454	=	12	Min	SCYNEXIS
DNDI1005390	1005451	=	74	uL/min/mg	SCYNEXIS
DNDI1005391	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005391	1005451	=	8	uL/min/mg	SCYNEXIS
DNDI1005391	1005454	=	101	Min	SCYNEXIS
DNDI1005391	1000986	=	.25	ug/ml	SCYNEXIS
DNDI1005391	1004728	=	29.51	ug/ml	SCYNEXIS
DNDI1005392	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005392	1004728	=	27.55	ug/ml	SCYNEXIS
DNDI1005392	1000986	=	.54	ug/ml	SCYNEXIS
DNDI1005392	1005454	=	27	Min	SCYNEXIS
DNDI1005392	1005451	=	31	uL/min/mg	SCYNEXIS
DNDI1005393	1005759	=	3.67	ug/ml	SCYNEXIS
DNDI1005393	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005393	1000986	=	.69	ug/ml	SCYNEXIS
DNDI1005394	1004728	=	15.88	ug/ml	SCYNEXIS
DNDI1005394	1000986	=	1.37	ug/ml	SCYNEXIS
DNDI1005394	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005395	1000986	=	1.25	ug/ml	SCYNEXIS
DNDI1005395	1004728	=	15.79	ug/ml	SCYNEXIS
DNDI1005395	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005396	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005396	1006731	=	49.68	%	SCYNEXIS
DNDI1005396	1005451	=	13	uL/min/mg	SCYNEXIS
DNDI1005396	1005454	=	68	Min	SCYNEXIS
DNDI1005396	1004728	=	32.42	ug/ml	SCYNEXIS
DNDI1005396	1000986	=	.33	ug/ml	SCYNEXIS
DNDI1005396	1006729	=	.55531701174956	%	SCYNEXIS
DNDI1005429	1005451	=	30	uL/min/mg	SCYNEXIS
DNDI1005429	1000986	=	.49	ug/ml	SCYNEXIS
DNDI1005429	1005454	=	28	Min	SCYNEXIS
DNDI1005429	1004728	=	15.72	ug/ml	SCYNEXIS
DNDI1005429	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005430	1000986	=	.74	ug/ml	SCYNEXIS
DNDI1005430	1004728	=	16.04	ug/ml	SCYNEXIS
DNDI1005430	1005759	<	3.13	ug/ml	SCYNEXIS
DNDI1005449	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005449	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005450	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005450	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005469	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005469	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005469	1005454	=	2	Min	SCYNEXIS
