smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,ASSAY_TYPE,ASSAY_STRAIN,TARGET_TYPE,DOSE,timepoint_unit,SUPPLIER,ASSAY_SOP,New ASSAY_SOP,Comment
CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,.,=,0.3,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,.,=,32.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,.,=,27.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,107.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,8.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,2.0,PBS - pH 7.4,,,uM,,Kinetic,,,Estimation of Kinetic Solubility of Drug Candidate Compounds,set5,F,NEPH_RT,ORGANISM,,,SCYNEXIS,001SNK042,SCYVTSOL1,
CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,0.16,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,6.02,CHI,,,none,,logD,,,Lipophilicity (logD) analysis of New Chemical Entities,set5,F,pH 7.4,ORGANISM,,,SCYNEXIS,003ADT015,SCYVTLIP1,
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,38.91,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,0.12,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,6.5,CHI,,,none,,logD,,,Lipophilicity (logD) analysis of New Chemical Entities,set5,F,pH 7.4,ORGANISM,,,SCYNEXIS,003ADT015,SCYVTLIP1,
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,4.5,T. b. brucei,,,day,,MSD,,,HAT in vivo,set5,F,EATRO 110 po,ORGANISM,20.0,adm days,SCYNEXIS,,PACVVHAT1,
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,2.0,PBS - pH 7.4,,,uM,,Kinetic,,,Estimation of Kinetic Solubility of Drug Candidate Compounds,set5,F,NEPH_RT,ORGANISM,,,SCYNEXIS,001SNK042,SCYVTSOL1,
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,14.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,60.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,0.08,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,6.45,CHI,,,none,,logD,,,Lipophilicity (logD) analysis of New Chemical Entities,set5,F,pH 7.4,ORGANISM,,,SCYNEXIS,003ADT015,SCYVTLIP1,
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,4.0,T. b. brucei,,,day,,MSD,,,HAT in vivo,set5,F,EATRO 110 po,ORGANISM,20.0,adm days,SCYNEXIS,,PACVVHAT1,
