COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1246774	1003108	= 	82.25	uM	EPICHEM
DNDI1246774	1000461	= 	52.96	uM	EPICHEM
DNDI1246774	1002457	= 			EPICHEM
DNDI1246776	1003108	> 	100	uM	EPICHEM
DNDI1246776	1000461	= 	44.97	uM	EPICHEM
DNDI1246776	1002457	= 	100	uM	EPICHEM
DNDI1246777	1003108	= 	76.46	uM	EPICHEM
DNDI1246777	1000461	= 	58.51	uM	EPICHEM
DNDI1246777	1002457	= 			EPICHEM
DNDI1246778	1000461	= 	.25	uM	EPICHEM
DNDI1246778	1002457	= 	.56	uM	EPICHEM
DNDI1246778	1003108	> 	100	uM	EPICHEM
DNDI1246778	1003108	= 	76.79	uM	EPICHEM
DNDI1246778	1000461	= 	.35	uM	EPICHEM
DNDI1246778	1002457	= 			EPICHEM
DNDI1246784	1000461	= 	55.5	uM	EPICHEM
DNDI1246784	1003108	= 	82.82	uM	EPICHEM
DNDI1246786	1000461	= 	23.86	uM	EPICHEM
DNDI1246786	1003108	= 	83.58	uM	EPICHEM
DNDI1246788	1003108	> 	100	uM	EPICHEM
DNDI1246788	1000461	= 	67.5	uM	EPICHEM
DNDI1246791	1000461	= 	71.77	uM	EPICHEM
DNDI1246791	1003108	> 	100	uM	EPICHEM
DNDI1246799	1003108	> 	100	uM	EPICHEM
DNDI1246799	1000461	> 	100	uM	EPICHEM
DNDI1249371	1000461	= 	73.95	uM	EPICHEM
DNDI1249371	1003108	> 	100	uM	EPICHEM
DNDI1251116	1003108	> 	100	uM	EPICHEM
DNDI1251116	1000461	= 	.46225	uM	EPICHEM
DNDI1251118	1003108	= 	47.72	uM	EPICHEM
DNDI1251118	1000461	= 	.223666666666667	uM	EPICHEM
DNDI1255538	1003108	> 	100	uM	EPICHEM
DNDI1255538	1000461	= 	1.06	uM	EPICHEM
DNDI1255541	1003108	> 	100	uM	EPICHEM
DNDI1255541	1000461	= 	14.53	uM	EPICHEM
DNDI1255544	1000461	= 	1.07	uM	EPICHEM
DNDI1255544	1002457	= 	80	uM	EPICHEM
DNDI1255544	1003108	> 	100	uM	EPICHEM
DNDI1255545	1003108	= 	61.34	uM	EPICHEM
DNDI1255545	1000461	= 	.27	uM	EPICHEM
DNDI1255545	1002457	= 	51	uM	EPICHEM
DNDI1255546	1003108	> 	100	uM	EPICHEM
DNDI1255546	1000461	= 	27.42	uM	EPICHEM
DNDI1255546	1002457	= 	90	uM	EPICHEM
DNDI1255601	1003108	> 	100	uM	EPICHEM
DNDI1255601	1000461	= 	2.51	uM	EPICHEM
DNDI1255601	1003108	> 	100	uM	EPICHEM
DNDI1255601	1002457	= 	70	uM	EPICHEM
DNDI1255602	1002457	= 	60	uM	EPICHEM
DNDI1255602	1003108	= 	70.93	uM	EPICHEM
DNDI1255602	1000461	= 	.393	uM	EPICHEM
DNDI1255602	1003108	= 	70.93	uM	EPICHEM
DNDI1255610	1003108	> 	100	uM	EPICHEM
DNDI1255610	1000461	= 	1.14	uM	EPICHEM
DNDI1255610	1002457	= 	8.7	uM	EPICHEM
DNDI1255613	1003108	> 	100	uM	EPICHEM
DNDI1255613	1002457	= 	.65	uM	EPICHEM
DNDI1255613	1003108	> 	100	uM	EPICHEM
DNDI1255613	1000461	= 	.21	uM	EPICHEM
DNDI1255613	1000461	= 	.47	uM	EPICHEM
DNDI1255613	1002457	= 	.95	uM	EPICHEM
DNDI1255613	1002457	= 	13	uM	EPICHEM
DNDI1255613	1000461	= 	.294	uM	EPICHEM
DNDI1255613	1003108	= 	80.99	uM	EPICHEM
DNDI1255614	1002457	= 	19.5	uM	EPICHEM
DNDI1255614	1000461	= 	1.14	uM	EPICHEM
DNDI1255614	1003108	> 	100	uM	EPICHEM
DNDI1255615	1003108	> 	100	uM	EPICHEM
DNDI1255615	1000461	= 	20.94	uM	EPICHEM
DNDI1255615	1002457	= 	62.5	uM	EPICHEM
DNDI1255616	1003108	> 	100	uM	EPICHEM
DNDI1255616	1002457	= 	100	uM	EPICHEM
DNDI1255616	1000461	> 	100	uM	EPICHEM
DNDI1264432	1003108	> 	100	uM	EPICHEM
DNDI1264432	1000461	= 	.641	uM	EPICHEM
DNDI1264438	1003108	> 	100	uM	EPICHEM
DNDI1264438	1002457	= 	7.9	uM	EPICHEM
DNDI1264438	1003108	> 	100	uM	EPICHEM
DNDI1264438	1000461	= 	.44	uM	EPICHEM
DNDI1264439	1003108	> 	100	uM	EPICHEM
DNDI1264439	1002457	= 	21	uM	EPICHEM
DNDI1264439	1003108	> 	100	uM	EPICHEM
DNDI1264439	1000461	= 	2.24	uM	EPICHEM
DNDI1264440	1002457	= 	66	uM	EPICHEM
DNDI1264440	1003108	> 	100	uM	EPICHEM
DNDI1264440	1000461	= 	22.9	uM	EPICHEM
DNDI1264440	1003108	> 	100	uM	EPICHEM
