COMPOUND_ID	ASSAY_ID	MEASUREMENT_TYPE	STATUS	VALUE	UPPER_VALUE	UNIT	SD_MINUS	SD_PLUS	ACTIVITY_COMMENT
DNDI1014357	1007605	IC50	= 	1.99		uM			
DNDI1014357	1002458	IC50	> 	20.83		uM			
DNDI1020807	1007605	IC50	> 	10.42		uM			
DNDI1317250	1002458	IC50	> 	20.83		uM			
DNDI1317250	1007605	IC50	= 	2.45		uM			
DNDI1317312	1007605	IC50	= 	.404		uM			
DNDI1317312	1002458	IC50	> 	10.42		uM			
DNDI1317340	1007605	IC50	= 	.524		uM			
DNDI1317340	1002458	IC50	= 	1.06		uM			
DNDI1317463	1002458	IC50	> 	41.67		uM			
DNDI1317463	1007605	IC50	= 	.17		uM			
DNDI1317476	1007605	IC50	= 	.734		uM			
DNDI1317476	1002458	IC50	> 	10.42		uM			
DNDI1317482	1007605	IC50	= 	.718		uM			
DNDI1317482	1002458	IC50	> 	10.42		uM			
DNDI1317485	1007605	IC50	= 	2.62		uM			
DNDI1317485	1002458	IC50	> 	20.83		uM			
DNDI1317637	1002458	IC50	> 	4.17		uM			
DNDI1317637	1007605	IC50	= 	4.5		uM			
DNDI1317721	1007605	IC50	> 	10.42		uM			
DNDI1317744	1002458	IC50	> 	20.83		uM			
DNDI1317744	1007605	IC50	= 	5.62		uM			
DNDI1317835	1007605	IC50	= 	1.28		uM			
DNDI1317835	1002458	IC50	> 	20.83		uM			
DNDI1317846	1007605	IC50	= 	5.41		uM			
DNDI1317846	1002458	IC50	> 	41.67		uM			
DNDI1317976	1002458	IC50	> 	41.67		uM			
DNDI1317976	1007605	IC50	= 	4.24		uM			
DNDI1318029	1002458	IC50	> 	20.83		uM			
DNDI1318029	1007605	IC50	= 	6.4		uM			
DNDI1318058	1002458	IC50	> 	4.17		uM			
DNDI1318058	1007605	IC50	< 	.004		uM			
DNDI1318058	1007998	IC90	= 			uM			
DNDI1318078	1002458	IC50	> 	41.67		uM			
DNDI1318078	1007605	IC50	= 	.842		uM			
DNDI1318111	1007605	IC50	= 	5.43		uM			
DNDI1318111	1002458	IC50	> 	20.83		uM			
DNDI1318134	1007605	IC50	> 	10.42		uM			
DNDI1318193	1007605	IC50	= 	2.88		uM			
DNDI1318193	1002458	IC50	> 	20.83		uM			
DNDI1318219	1002458	IC50	> 	4.17		uM			
DNDI1318219	1007605	IC50	= 	.706		uM			
DNDI1318235	1007605	IC50	= 	.477		uM			
DNDI1318235	1002458	IC50	> 	20.83		uM			
DNDI1318257	1007998	IC90	= 			uM			
DNDI1318257	1007605	IC50	< 	.004		uM			
DNDI1318257	1002458	IC50	> 	2.08		uM			
DNDI1318303	1002458	IC50	> 	41.67		uM			
DNDI1318303	1007605	IC50	= 	5.49		uM			
DNDI1318392	1007605	IC50	> 	10.42		uM			
DNDI1318421	1002458	IC50	> 	41.67		uM			
DNDI1318421	1007605	IC50	= 	4.25		uM			
DNDI1318477	1007605	IC50	= 	2.87		uM			
DNDI1318477	1002458	IC50	> 	20.83		uM			
DNDI1318511	1007605	IC50	> 	10.42		uM			
DNDI1318556	1007605	IC50	= 	.416		uM			
DNDI1318556	1002458	IC50	> 	10.42		uM			
DNDI1318588	1007605	IC50	> 	10.42		uM			
DNDI1318610	1007605	IC50	> 	10.42		uM			
DNDI1318693	1007605	IC50	= 	.931		uM			
DNDI1318693	1002458	IC50	> 	41.67		uM			
DNDI1318724	1007605	IC50	> 	10.42		uM			
DNDI1318727	1007605	IC50	= 	5.19		uM			
DNDI1318727	1007605	IC50	= 	4.73		uM			
DNDI1318727	1002458	IC50	> 	20.83		uM			
DNDI1318727	1002458	IC50	> 	41.67		uM			
DNDI1318731	1002458	IC50	> 	20.83		uM			
DNDI1318731	1007605	IC50	= 	1.28		uM			
DNDI1318794	1007605	IC50	> 	10.42		uM			
DNDI1318834	1007605	IC50	= 	7.04		uM			
DNDI1318834	1002458	IC50	> 	41.67		uM			
DNDI1318840	1007605	IC50	> 	10.42		uM			
DNDI1318886	1002458	IC50	> 	41.67		uM			
DNDI1318886	1007605	IC50	= 	.503		uM			
DNDI1318898	1002458	IC50	> 	20.83		uM			
DNDI1318898	1007605	IC50	= 	4.03		uM			
DNDI1318925	1002458	IC50	> 	20.83		uM			
DNDI1318925	1007605	IC50	= 	2.15		uM			
DNDI1319046	1007605	IC50	> 	10.42		uM			
DNDI1319064	1007605	IC50	= 	.317		uM			
DNDI1319064	1002458	IC50	> 	4.17		uM			
DNDI1319099	1002458	IC50	= 	3.36		uM			
DNDI1319099	1007605	IC50	= 	.357		uM			
DNDI1319199	1007605	IC50	= 	4.94		uM			
DNDI1319199	1002458	IC50	> 	41.67		uM			
DNDI1343110	1007605	IC50	= 	.557		uM			
DNDI1343110	1002458	IC50	> 	20.83		uM			
DNDI1388178	1007605	IC50	> 	10.42		uM			
DNDI1388182	1007605	IC50	> 	10.42		uM			
DNDI1388199	1002458	IC50	> 	20.83		uM			
DNDI1388199	1007605	IC50	= 	5.48		uM			
DNDI1388199	1007605	IC50	= 	5.31		uM			
DNDI1388215	1007605	IC50	= 	4.49		uM			
DNDI1388215	1002458	IC50	> 	41.67		uM			
DNDI1388323	1007605	IC50	> 	10.42		uM			
DNDI1395216	1002458	IC50	= 	5.93		uM			
DNDI1395216	1007605	IC50	= 	3.73		uM			
DNDI1416906	1007605	IC50	> 	10.42		uM			
DNDI1416907	1007605	IC50	= 	2.32		uM			
DNDI1416907	1002458	IC50	= 	4.89		uM			
DNDI1416908	1007605	IC50	> 	10.42		uM			
DNDI1416909	1007605	IC50	= 	5.63		uM			
DNDI1416909	1002458	IC50	> 	20.83		uM			
DNDI1416910	1007605	IC50	> 	10.42		uM			
DNDI1416911	1002458	IC50	> 	4.17		uM			
DNDI1416911	1007605	IC50	<=	2.64		uM			
DNDI1416912	1007605	IC50	> 	10.42		uM			
DNDI1416913	1007605	IC50	= 	2.4		uM			
DNDI1416913	1002458	IC50	> 	4.17		uM			
DNDI1416914	1007605	IC50	> 	10.42		uM			
DNDI1416915	1007605	IC50	= 	.647		uM			
DNDI1416915	1002458	IC50	> 	41.67		uM			
DNDI1416916	1007605	IC50	= 	4.56		uM			
DNDI1416916	1002458	IC50	> 	4.17		uM			
DNDI1416917	1007605	IC50	> 	10.42		uM			
DNDI1416918	1007605	IC50	= 	4.39		uM			
DNDI1416918	1002458	IC50	> 	41.67		uM			
DNDI1416919	1007605	IC50	> 	10.42		uM			
DNDI1416920	1007605	IC50	> 	10.42		uM			
DNDI1416921	1007605	IC50	> 	10.42		uM			
DNDI1416922	1007605	IC50	= 	5.66		uM			
DNDI1416922	1002458	IC50	> 	41.67		uM			
DNDI1416923	1007605	IC50	= 	5.05		uM			
DNDI1416923	1002458	IC50	> 	41.67		uM			
DNDI1416924	1007605	IC50	= 	2.44		uM			
DNDI1416924	1002458	IC50	> 	41.67		uM			
DNDI1416925	1007605	IC50	= 	.7		uM			
DNDI1416925	1002458	IC50	= 	3.61		uM			
DNDI1416926	1007605	IC50	= 	4.84		uM			
