COMPOUND_ID	REFERENCE_ID	COMPOUND_NAME	COMPOUND_KEY	SRC_ID	COMPOUND_SOURCE
DNDI1014357	1		DNDI1014357	14	HEOS
DNDI1020807	1		DNDI1020807	14	HEOS
DNDI1317250	1		DNDI1317250	14	HEOS
DNDI1317312	1		DNDI1317312	14	HEOS
DNDI1317340	1		DNDI1317340	14	HEOS
DNDI1317463	1		DNDI1317463	14	HEOS
DNDI1317476	1		DNDI1317476	14	HEOS
DNDI1317482	1		DNDI1317482	14	HEOS
DNDI1317485	1		DNDI1317485	14	HEOS
DNDI1317637	1		DNDI1317637	14	HEOS
DNDI1317721	1		DNDI1317721	14	HEOS
DNDI1317744	1		DNDI1317744	14	HEOS
DNDI1317835	1		DNDI1317835	14	HEOS
DNDI1317846	1		DNDI1317846	14	HEOS
DNDI1317976	1		DNDI1317976	14	HEOS
DNDI1318029	1		DNDI1318029	14	HEOS
DNDI1318058	1		DNDI1318058	14	HEOS
DNDI1318078	1		DNDI1318078	14	HEOS
DNDI1318111	1		DNDI1318111	14	HEOS
DNDI1318134	1		DNDI1318134	14	HEOS
DNDI1318193	1		DNDI1318193	14	HEOS
DNDI1318219	1		DNDI1318219	14	HEOS
DNDI1318235	1		DNDI1318235	14	HEOS
DNDI1318257	1		DNDI1318257	14	HEOS
DNDI1318303	1		DNDI1318303	14	HEOS
DNDI1318392	1		DNDI1318392	14	HEOS
DNDI1318421	1		DNDI1318421	14	HEOS
DNDI1318477	1		DNDI1318477	14	HEOS
DNDI1318511	1		DNDI1318511	14	HEOS
DNDI1318556	1		DNDI1318556	14	HEOS
DNDI1318588	1		DNDI1318588	14	HEOS
DNDI1318610	1		DNDI1318610	14	HEOS
DNDI1318693	1		DNDI1318693	14	HEOS
DNDI1318724	1		DNDI1318724	14	HEOS
DNDI1318727	1		DNDI1318727	14	HEOS
DNDI1318731	1		DNDI1318731	14	HEOS
DNDI1318794	1		DNDI1318794	14	HEOS
DNDI1318834	1		DNDI1318834	14	HEOS
DNDI1318840	1		DNDI1318840	14	HEOS
DNDI1318886	1		DNDI1318886	14	HEOS
DNDI1318898	1		DNDI1318898	14	HEOS
DNDI1318925	1		DNDI1318925	14	HEOS
DNDI1319046	1		DNDI1319046	14	HEOS
DNDI1319064	1		DNDI1319064	14	HEOS
DNDI1319099	1		DNDI1319099	14	HEOS
DNDI1319199	1		DNDI1319199	14	HEOS
DNDI1343110	1		DNDI1343110	14	HEOS
DNDI1388178	1		DNDI1388178	14	HEOS
DNDI1388182	1		DNDI1388182	14	HEOS
DNDI1388199	1		DNDI1388199	14	HEOS
DNDI1388215	1		DNDI1388215	14	HEOS
DNDI1388323	1		DNDI1388323	14	HEOS
DNDI1395216	1		DNDI1395216	14	HEOS
DNDI1416906	1		DNDI1416906	14	HEOS
DNDI1416907	1		DNDI1416907	14	HEOS
DNDI1416908	1		DNDI1416908	14	HEOS
DNDI1416909	1		DNDI1416909	14	HEOS
DNDI1416910	1		DNDI1416910	14	HEOS
DNDI1416911	1		DNDI1416911	14	HEOS
DNDI1416912	1		DNDI1416912	14	HEOS
DNDI1416913	1		DNDI1416913	14	HEOS
DNDI1416914	1		DNDI1416914	14	HEOS
DNDI1416915	1		DNDI1416915	14	HEOS
DNDI1416916	1		DNDI1416916	14	HEOS
DNDI1416917	1		DNDI1416917	14	HEOS
DNDI1416918	1		DNDI1416918	14	HEOS
DNDI1416919	1		DNDI1416919	14	HEOS
DNDI1416920	1		DNDI1416920	14	HEOS
DNDI1416921	1		DNDI1416921	14	HEOS
DNDI1416922	1		DNDI1416922	14	HEOS
DNDI1416923	1		DNDI1416923	14	HEOS
DNDI1416924	1		DNDI1416924	14	HEOS
DNDI1416925	1		DNDI1416925	14	HEOS
DNDI1416926	1		DNDI1416926	14	HEOS
DNDI1416927	1		DNDI1416927	14	HEOS
