smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,REFERENCE_ID,ASSAY_TYPE,ASSAY_ORGANISM,ASSAY_STRAIN,TARGET_TYPE,SRC_ID,ASSAY_SOURCE
Cc1ccccc1-n1sc2ccccc2c1=O,Cc1ccccc1-n1sc2ccccc2c1=O,.,= ,1.99,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
OCCNC1CCCc2c1[nH]c1ccc(Br)cc21,OCCNC1CCCc2c1[nH]c1ccc(Br)cc21,.,= ,2.45,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccc(O)c(/N=N/c2nnc[nH]2)c1,Cc1ccc(O)c(/N=N/c2nnc[nH]2)c1,.,= ,0.404,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COC(=O)C1=C(OC)C(=O)OC12C=CC(=O)C=C2,COC(=O)C1=C(OC)C(=O)OC12C=CC(=O)C=C2,.,= ,0.524,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COC(=O)C1=C(OC)C(=O)OC12C=CC(=O)C=C2,COC(=O)C1=C(OC)C(=O)OC12C=CC(=O)C=C2,.,= ,1.06,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccco1,O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccco1,.,= ,0.17,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC(C)CC[n+]1ccccc1/C=C/c1ccc(N(C)C)cc1,CC(C)CC[n+]1ccccc1/C=C/c1ccc(N(C)C)cc1,.,= ,0.734,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
c1ccc(Nc2nc(-c3ccccn3)cs2)nc1,c1ccc(Nc2nc(-c3ccccn3)cs2)nc1,.,= ,0.718,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC1CCc2nc(SC3CC(=O)C4OCC3O4)nc(C(F)(F)F)c2C1,CC1CCc2nc(SC3CC(=O)C4OCC3O4)nc(C(F)(F)F)c2C1,.,= ,2.62,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C1c2cccc3cccc(c23)C(=O)N1CCNCCO,O=C1c2cccc3cccc(c23)C(=O)N1CCNCCO,.,= ,4.5,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
C/C(=C\c1ccccc1)c1nc2c(=O)n(C)c(=O)nc-2n(C)n1,C/C(=C\c1ccccc1)c1nc2c(=O)n(C)c(=O)nc-2n(C)n1,.,= ,5.62,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CN(C)CCOc1ccccc1C1NCCc2c1[nH]c1ccccc21,CN(C)CCOc1ccccc1C1NCCc2c1[nH]c1ccccc21,.,= ,1.28,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC[n+]1c(/C=C2\Sc3cc(NC(C)=O)ccc3N2C)ccc2ccccc21,CC[n+]1c(/C=C2\Sc3cc(NC(C)=O)ccc3N2C)ccc2ccccc21,.,= ,5.41,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1c(C)c(C)c2c(CC(C)N)c[nH]c2c1C,Cc1c(C)c(C)c2c(CC(C)N)c[nH]c2c1C,.,= ,4.24,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccc(-c2cn3c([n+]2-c2ccc(C)cc2)CCCCC3)cc1,Cc1ccc(-c2cn3c([n+]2-c2ccc(C)cc2)CCCCC3)cc1,.,= ,6.4,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cccc2ccc(/C=C/c3ccc(N(C)C)cc3)[n+](C)c12,Cc1cccc2ccc(/C=C/c3ccc(N(C)C)cc3)[n+](C)c12,.,= ,,T.b. brucei,,,uM,,IC90,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
