smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,measurement,type,model type,description,dataset,Assay Type,Assay Src Description,Assay Organism,Target Type,Target Name,Reference,CMPD_ID
O=C(Nc1ccc(cc1)C(=O)N1CCCCC1c1nc2ccccc2s1)c1ccco1,O=C(Nc1ccc(cc1)C(=O)N1CCCCC1c1nc2ccccc2s1)c1ccco1,.,=,,Tuberculosis,,0.1,µM,MIC90,,,,set9,,GSK1452496A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142343
O=C(Nc1cccc(c1)C(=O)N1CCCCC1c1nc2ccccc2s1)c1cccs1,O=C(Nc1cccc(c1)C(=O)N1CCCCC1c1nc2ccccc2s1)c1cccs1,.,=,,Tuberculosis,,0.1,µM,MIC90,,,,set9,,GSK1452498A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142344
Cl.Clc1csc(n1)-c1ccccc1NC(=O)OCCC1CCCCN1,Clc1csc(n1)-c1ccccc1NC(=O)OCCC1CCCCN1,Cl,=,,Tuberculosis,,0.2,µM,MIC90,,,,set9,,SB-790594-A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142348
CC(N(C)C(=O)c1cccc(NC(=O)c2cccs2)c1)c1nc2ccccc2s1,CC(N(C)C(=O)c1cccc(NC(=O)c2cccs2)c1)c1nc2ccccc2s1,.,=,,Tuberculosis,,0.3,µM,MIC90,,,,set9,,GSK1917391A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142351
CCC(C)CC(=O)Nc1nc2CC(CC(=O)c2s1)C(=O)N(C)Cc1cccc2ncccc12,CCC(C)CC(=O)Nc1nc2CC(CC(=O)c2s1)C(=O)N(C)Cc1cccc2ncccc12,.,=,,Tuberculosis,,0.3,µM,MIC90,,,,set9,,GSK2057544A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142352
COc1ccc(cc1C(=O)N[C@H]1CCN2CC(C[C@H]2C1)c1ccccc1)S(=O)(=O)N(C)C,COc1ccc(cc1C(=O)N[C@H]1CCN2CC(C[C@H]2C1)c1ccccc1)S(=O)(=O)N(C)C,.,=,,Tuberculosis,,0.4,µM,MIC90,,,,set9,,BRL-35822GM,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142356
COCc1nc(N2CCCNCC2)c2c(C)nn(-c3cccc(Cl)c3)c2n1,COCc1nc(N2CCCNCC2)c2c(C)nn(-c3cccc(Cl)c3)c2n1,.,=,,Tuberculosis,,0.4,µM,MIC90,,,,set9,,GSK1188380A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142357
COc1ccccc1NC(=O)CN(Cc1ccco1)C(=O)c1cccc(NC(=O)c2cccs2)c1,COc1ccccc1NC(=O)CN(Cc1ccco1)C(=O)c1cccc(NC(=O)c2cccs2)c1,.,=,,Tuberculosis,,0.4,µM,MIC90,,,,set9,,GSK1462954A,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142358
Nc1ccc(cc1)C(=O)C(=O)c1ccc(N)cc1,Nc1ccc(cc1)C(=O)C(=O)c1ccc(N)cc1,.,=,,Tuberculosis,,0.4,µM,MIC90,,,,set9,,GW335118X,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142361
CC(C)c1c(C(=O)c2cc(C)cc(Cl)c2)n(Cc2cc(F)nc(F)c2)c(=O)[nH]c1=O,CC(C)c1c(C(=O)c2cc(C)cc(Cl)c2)n(Cc2cc(F)nc(F)c2)c(=O)[nH]c1=O,.,=,,Tuberculosis,,0.4,µM,MIC90,,,,set9,,GW874798X,,ORGANISM,Mycobacterium bovis Bacillus Calmette-Guérin,.,TCMDC-142362
